Longueur,Theta (deg),Delta Theta (deg)
25.261 mm,-10.196100660687398,0.16544279361149494
50.696 mm,-20.33388577974574,0.11084691146021265
76.131 mm,-30.564265360138617,0.07470356341248915
101.566 mm,-41.04469791241311,0.12623088704188803
127.001 mm,-51.63232473563269,0.1301225672205577
