Longueur,Theta (deg),Delta Theta (deg)
35.435 mm,8.898210879213131,0.1076696706137909
55.783 mm,15.01709222925328,0.13738451758701414
76.131 mm,20.399975620670002,0.1390805829193468
96.479 mm,25.03993794269274,0.2317063371342537
127.001 mm,32.460284490693255,0.5614439020004993
