lambda,alex_rouge,mathilde,a_c,m_e,alex_blanc,alex_bleu,,,,
712,0.03004736,0.027936878,0.008339438,0.11978207,0.032878233,0.016389166,,,,
713,0.028484478,0.026707737,0.007981278,0.044446294,0.030875791,0.015200725,,,,
714,0.027255337,0.025730936,0.007427757,0.017616828,0.02985015,0.015037925,,,,
715,0.026278536,0.024778555,0.007509158,0.009110519,0.028930329,0.014321604,,,,
716,0.025187775,0.023761054,0.006906797,0.006562697,0.027725608,0.013792504,,,,
717,0.024194694,0.022824953,0.006752137,0.005520776,0.026260406,0.013304103,,,,
718,0.022737633,0.021726052,0.006467236,0.005211455,0.025063825,0.012766863,,,,
719,0.021679432,0.021050431,0.006328856,0.005064935,0.023745144,0.012042402,,,,
720,0.021068931,0.02015096,0.005885226,0.005052725,0.023122433,0.011676102,,,,
721,0.02048285,0.01959337,0.005775336,0.005024235,0.022483442,0.011326081,,,,
722,0.019229289,0.018730529,0.005734636,0.004714915,0.021702002,0.011098161,,,,
723,0.018692049,0.018014208,0.005466015,0.004185814,0.02032634,0.010593481,,,,
724,0.017861768,0.017257187,0.005441595,0.004373034,0.019430939,0.00999112,,,,
725,0.017226847,0.016956007,0.005229955,0.004714915,0.019284419,0.01015392,,,,
726,0.016290746,0.015555926,0.004839235,0.009143079,0.017916898,0.009152699,,,,
727,0.015745366,0.015181485,0.004521775,0.011007141,0.017281977,0.009168979,,,,
728,0.015061605,0.014611685,0.004285714,0.006408036,0.016516817,0.008639879,,,,
729,0.014459244,0.014131424,0.004196174,0.004486994,0.015955156,0.008208458,,,,
730,0.013734784,0.013447663,0.004065934,0.003974174,0.015287675,0.008013098,,,,
731,0.013506864,0.013113923,0.003854294,0.003900914,0.014823695,0.007711918,,,,
732,0.012904503,0.012405742,0.003919414,0.003355533,0.014180634,0.007361897,,,,
733,0.012375402,0.012112702,0.003675214,0.003209013,0.013667814,0.007247937,,,,
734,0.011830022,0.011852222,0.003414733,0.003135753,0.013130573,0.006938617,,,,
735,0.011357901,0.011306841,0.003365893,0.003160173,0.012739853,0.006645577,,,,
736,0.010853221,0.011144041,0.003178673,0.003526474,0.012015392,0.006588597,,,,
737,0.011148296,0.010401265,0.003693529,0.038721834,0.012109002,0.006584527,,,,
738,0.01002294,0.0102812,0.003284493,0.036770267,0.011331631,0.006035076,,,,
739,0.00995782,0.010037,0.003113553,0.013335183,0.011006031,0.005953676,,,,
740,0.0095264,0.009483479,0.002901913,0.005569616,0.010517631,0.005693196,,,,
741,0.009168239,0.009052059,0.002967033,0.006473156,0.01025715,0.005611796,,,,
742,0.008728679,0.008897399,0.002763533,0.006994117,0.00991527,0.005408295,,,,
743,0.008590299,0.008750879,0.002714693,0.004519555,0.009475709,0.005139675,,,,
744,0.008289118,0.008221778,0.002787953,0.003021793,0.009084989,0.004968735,,,,
745,0.008240278,0.008018278,0.002730973,0.003502054,0.008905909,0.004895475,,,,
746,0.007792578,0.007936878,0.002421652,0.004055574,0.008783809,0.004708255,,,,
747,0.007532098,0.007546158,0.002462352,0.002793873,0.008360528,0.004846635,,,,
748,0.007206497,0.007505458,0.002291412,0.002875273,0.008002368,0.004765235,,,,
749,0.006905317,0.007114737,0.002389092,0.033497983,0.007839568,0.004301254,,,,
750,0.006750657,0.007017057,0.002560033,0.067523218,0.007343027,0.004179154,,,,
751,0.006628557,0.006691457,0.002128612,0.050844341,0.007351167,0.004284974,,,,
752,0.006327376,0.006707737,0.002104192,0.016355126,0.007286047,0.003967514,,,,
753,0.006180856,0.006349576,0.002128612,0.004788175,0.006862767,0.004000074,,,,
754,0.005936656,0.006080956,0.001965812,0.002134532,0.006642987,0.003967514,,,,
755,0.005814556,0.005966996,0.002039072,0.001727532,0.006480186,0.003764014,,,,
756,0.005431975,0.005730936,0.001900692,0.001849632,0.006260406,0.003601214,,,,
757,0.005448255,0.005657676,0.001868132,0.001735672,0.006122026,0.003576794,,,,
758,0.005204055,0.005405335,0.001835572,0.001442631,0.005975506,0.003503534,,,,
759,0.005065675,0.005323935,0.001851852,0.001548452,0.005641766,0.003422133,,,,
760,0.004845895,0.005128575,0.001758242,0.001760092,0.005495245,0.003104673,,,,
761,0.004634255,0.004876235,0.001672772,0.002321752,0.005251045,0.003088393,,,,
762,0.004292374,0.004737855,0.001477411,0.097209827,0.004941725,0.002982573,,,,
763,0.004145854,0.004461094,0.001648352,0.170950161,0.004721945,0.003055833,,,,
764,0.004422614,0.004542495,0.001542532,0.058325008,0.004860325,0.002958153,,,,
765,0.004088874,0.004371554,0.001770452,0.014287564,0.004738225,0.002713953,,,,
766,0.004015614,0.004273874,0.001518112,0.003648574,0.004380064,0.002746513,,,,
767,0.003885374,0.003997114,0.001526252,0.001849632,0.004266104,0.002624413,,,,
768,0.003742924,0.003905539,0.001459096,0.001725497,0.004282384,0.002628483,,,,
769,0.003657454,0.003883154,0.001526252,0.001784512,0.004013764,0.002388352,,,,
770,0.003519074,0.003581974,0.001355311,0.002590373,0.003826544,0.002575573,,,,
771,0.003364413,0.003476153,0.001265771,0.051064121,0.003842824,0.002396492,,,,
772,0.003315573,0.003484293,0.001387871,0.043257853,0.003696304,0.002331372,,,,
773,0.003169053,0.003288933,0.001168831,0.015378325,0.003549784,0.002160432,,,,
774,0.002965553,0.003288933,0.001314611,0.004633515,0.003696304,0.002119732,,,,
775,0.002778333,0.003093573,0.001208791,0.001768232,0.003533504,0.002062752,,,,
776,0.002957413,0.003093573,0.001265771,0.001458911,0.003207903,0.002152292,,,,
777,0.002737633,0.003077293,0.001233211,0.001287971,0.003093943,0.002103452,,,,
778,0.002664373,0.003012173,0.001184371,0.001157731,0.003118363,0.001916232,,,,
779,0.002501573,0.002792393,0.001273911,0.001133311,0.002988123,0.001981352,,,,
780,0.002485292,0.002833093,0.001013431,0.000986791,0.002857883,0.001753432,,,,
781,0.002371332,0.002540053,0.001078551,0.001182151,0.002809043,0.001932512,,,,
782,0.002387612,0.002597033,0.001135531,0.001060051,0.002857883,0.001810412,,,,
783,0.002369297,0.002599068,0.001269841,0.001206571,0.002719503,0.001889777,,,,
784,0.002175972,0.002556333,0.000956451,0.000862101,0.002629963,0.001683872,,,,
785,0.002192252,0.002238872,0.001119251,0.000994931,0.002312502,0.001631332,,,,
786,0.001891072,0.002279572,0.000891331,0.001035631,0.002222962,0.001582492,,,,
787,0.001952862,0.002336552,0.000940171,0.000913531,0.002304362,0.001509232,,,,
788,0.001980612,0.002149332,0.000684131,0.000929811,0.002304362,0.001533652,,,,
789,0.001825952,0.002173752,0.000980871,0.001108891,0.002141562,0.001403411,,,,
790,0.001915492,0.001953972,0.000835461,0.000970511,0.002076442,0.001484811,,,,
791,0.001801532,0.002084212,0.000858771,0.001011211,0.001970622,0.001403411,,,,
792,0.001728272,0.001953972,0.000858771,0.001133311,0.002125282,0.001558072,,,,
793,0.001638732,0.001962112,0.000850631,0.009143079,0.002125282,0.001590632,,,,
794,0.001711992,0.001766752,0.000736671,0.046131276,0.001946202,0.001338291,,,,
795,0.001593962,0.001866467,0.000995116,0.019075924,0.001803752,0.001401376,,,,
796,0.001427091,0.001848152,0.000806971,0.005732416,0.001986902,0.001175491,,,,
797,0.001459651,0.001750472,0.000721131,0.001971732,0.001954342,0.001313871,,,,
798,0.001614312,0.001888852,0.000858771,0.001426351,0.001815962,0.001354571,,,,
799,0.001638732,0.001815592,0.000818071,0.015541126,0.001718282,0.001346431,,,,
800,0.001394531,0.001742332,0.000730751,0.07009546,0.001620602,0.001281311,,,,
801,0.001371961,0.001514412,0.000727421,0.066049876,0.001742702,0.001118511,,,,
802,0.001329411,0.001709772,0.000767381,0.023021793,0.001685722,0.001077811,,,,
803,0.001282791,0.001628372,0.000899471,0.007230177,0.001531062,0.001281311,,,,
804,0.001256151,0.001538832,0.000675991,0.002557813,0.001636882,0.001313871,,,,
805,0.001276501,0.001445221,0.000775336,0.001859807,0.001565657,0.001151071,,,,
806,0.001321271,0.001449291,0.000730751,0.001467051,0.001376401,0.001020831,,,,
807,0.001288711,0.001441151,0.000809931,0.001353091,0.001425241,0.001395271,,,,
808,0.001207311,0.001433011,0.000801791,0.002565953,0.001555482,0.001155881,,,,
809,0.001304991,0.001498131,0.000611611,0.055215525,0.001539202,0.001102231,,,,
810,0.001127391,0.001424871,0.000646021,0.197999408,0.001563622,0.001224331,,,,
811,0.001193991,0.001310911,0.000878011,0.254653865,0.001408961,0.000988271,,,,
812,0.001191031,0.001424871,0.000793651,0.087335997,0.001506642,0.001102231,,,,
813,0.001264291,0.001353646,0.001033411,0.019564325,0.001394716,0.000943501,,,,
814,0.001134051,0.001416731,0.000665631,0.002867133,0.001246161,0.000980131,,,,
815,0.001052651,0.001416731,0.00047582,0.001515892,0.001408961,0.001077811,,,,
816,0.000906131,0.001359751,0.000674511,0.001068191,0.001205461,0.001037111,,,,
817,0.001101491,0.001302771,0.000734451,0.001125171,0.001351981,0.001053391,,,,
818,0.001077071,0.001262071,0.000652681,0.001051911,0.001134421,0.001155881,,,,
819,0.000986051,0.001270211,0.000718171,0.001108891,0.001303141,0.000967551,,,,
820,0.001050061,0.001270211,0.000590891,0.001125171,0.001335701,0.000902431,,,,
821,0.000868576,0.001177434,0.000635198,0.000974581,0.001394716,0.000786158,,,,
822,0.000922411,0.001131831,0.000730751,0.000674141,0.001278721,0.000841751,,,,
823,0.000889851,0.000993451,0.000781441,0.000787361,0.001140341,0.000993451,,,,
824,0.000909831,0.001072261,0.000626041,0.000954231,0.001099641,0.000856181,,,,
825,0.001036371,0.001074851,0.000661191,0.016835387,0.001083361,0.000939431,,,,
826,0.000954971,0.001286491,0.000663411,0.021971732,0.001075221,0.001045251,,,,
827,0.000995671,0.001161061,0.000769231,0.008963999,0.001189181,0.001085951,,,,
828,0.000959041,0.001036186,0.000592463,0.002977023,0.001071151,0.000937396,,,,
829,0.000734451,0.001205091,0.000809931,0.000962371,0.001067081,0.000809191,,,,
830,0.000865431,0.001148111,0.000610501,0.000694861,0.001132201,0.000923151,,,,
831,0.000906131,0.001099271,0.000712251,0.000703001,0.001246161,0.000915011,,,,
832,0.000762571,0.000960891,0.000637141,0.000732231,0.001050801,0.000923151,,,,
833,0.000728901,0.000952751,0.000605691,0.000670441,0.000864321,0.000915011,,,,
834,0.000762941,0.001042291,0.000622711,0.000680431,0.001058941,0.000856181,,,,
835,0.000729271,0.000882728,0.000621323,0.000789211,0.001065046,0.000780331,,,,
836,0.000765161,0.000895771,0.000685241,0.000568691,0.001140341,0.000822141,,,,
837,0.000857291,0.000977171,0.000582751,0.000893551,0.000907611,0.000915011,,,,
838,0.000782181,0.000940541,0.000704851,0.000905391,0.000953121,0.000784771,,,,
839,0.000873571,0.000944611,0.000601991,0.010608281,0.001018241,0.000858031,,,,
840,0.000684131,0.000830651,0.000508381,0.046863877,0.000977541,0.000874311,,,,
841,0.000733156,0.000914086,0.000750638,0.072213897,0.000961261,0.000792818,,,,
842,0.000684871,0.001066711,0.000566101,0.066326636,0.000977541,0.000687091,,,,
843,0.000698931,0.001066711,0.000602731,0.022639213,0.000777371,0.000883191,,,,
844,0.000829171,0.001034151,0.000685611,0.007392977,0.000744811,0.001004551,,,,
845,0.000720391,0.000939061,0.000576461,0.001857772,0.001067081,0.000638251,,,,
846,0.000712251,0.001042291,0.000564991,0.001149591,0.001037851,0.000863211,,,,
847,0.000759241,0.000672938,0.000569153,0.000772283,0.000826951,0.000838883,,,,
848,0.000709291,0.000830651,0.000608651,0.000872831,0.000977541,0.000882451,,,,
849,0.000625671,0.000720761,0.000641211,0.000666371,0.000790321,0.000768491,,,,
850,0.000728531,0.000686721,0.00040589,0.001578052,0.000745551,0.000779591,,,,
851,0.000824731,0.000772561,0.000636031,0.017909868,0.000900211,0.000858031,,,,
852,0.000669331,0.000831668,0.000642968,0.012378732,0.000790321,0.000896603,,,,
853,0.000884671,0.000922781,0.000590521,0.004666075,0.000766271,0.000776631,,,,
854,0.000746291,0.000906501,0.00048692,0.001686832,0.000749621,0.000903541,,,,
855,0.000813261,0.000879491,0.000593111,0.000937951,0.000728901,0.000739631,,,,
856,0.000826951,0.001301291,0.001054131,0.001182151,0.000977541,0.001245421,,,,
857,0.000569986,0.000920191,0.000726496,0.000646021,0.000955156,0.000792818,,,,
858,0.000728531,0.000877271,0.000607171,0.000560921,0.000879861,0.000719651,,,,
859,0.000627151,0.000684131,0.00040811,0.000580901,0.000761831,0.000801051,,,,
860,0.000739631,0.000655271,0.000648241,0.000758871,0.000743331,0.000923151,,,,
861,0.000745551,0.000871351,0.000667111,0.000845451,0.000786251,0.000817331,,,,
862,0.000672938,0.000919081,0.00044844,0.000685426,0.000692363,0.000640193,,,,
863,0.000542791,0.000703741,0.00045917,0.000639731,0.000725201,0.000787361,,,,
864,0.000780701,0.000678581,0.00044437,0.000845451,0.000741481,0.000703371,,,,
865,0.000706331,0.000732971,0.000514301,0.001545122,0.000857661,0.000817331,,,,
866,0.000681541,0.000788841,0.000667481,0.004796315,0.000725201,0.000785141,,,,
867,0.000588856,0.000609946,0.000589133,0.002433677,0.000744256,0.000594128,,,,
868,0.000608651,0.000675251,0.000643061,0.001141451,0.000651571,0.000670811,,,,
869,0.00046065,0.000682651,0.000563141,0.000707071,0.000651941,0.000828431,,,,
870,0.000553891,0.000667851,0.00045177,0.000638991,0.000781071,0.000691901,,,,
871,0.000536131,0.000691161,0.000503941,0.00047323,0.000727421,0.000890591,,,,
872,0.000561106,0.000621046,0.000541681,0.000477578,0.000684593,0.000814741,,,,
873,0.000584971,0.000700411,0.000592001,0.000599031,0.000883931,0.000682651,,,,
874,0.000777371,0.000616421,0.000681541,0.000557591,0.000744811,0.000644541,,,,
875,0.00049099,0.000680801,0.000543531,0.000715951,0.000700041,0.000663411,,,,
876,0.000562771,0.000656843,0.000478965,0.000645743,0.000768398,0.000637418,,,,
877,0.000580531,0.000596071,0.00041773,0.000726311,0.000700781,0.000661931,,,,
878,0.000526881,0.000789951,0.000563511,0.000567211,0.000578681,0.000784771,,,,
879,0.000626781,0.000648981,0.000547601,0.000561661,0.000714841,0.000771081,,,,
880,0.000636863,0.000616051,0.000689033,0.000592186,0.000851371,0.000656566,,,,
881,0.000633441,0.000708551,0.00042143,0.0004181,0.000680801,0.000759611,,,,
882,0.000615681,0.000573131,0.00047286,0.000584601,0.000709291,0.000700411,,,,
883,0.000601251,0.000731861,0.00046583,0.000601991,0.000664151,0.000764051,,,,
884,0.000605506,0.000712621,0.000600511,0.000662393,0.000518648,0.000691808,,,,
885,0.000669701,0.000721871,0.000508751,0.000530211,0.000708181,0.000651201,,,,
886,0.000727051,0.000693751,0.000624561,0.000526141,0.000643061,0.000697821,,,,
887,0.000600141,0.000573131,0.000542791,0.000530211,0.000733341,0.000812891,,,,
888,0.000687831,0.00046435,0.00049025,0.00043993,0.000801791,0.000531691,,,,
889,0.000480908,0.000653791,0.000618271,0.00039738,0.000599123,0.000595516,,,,
890,0.000604211,0.000799571,0.000560551,0.000502461,0.000646021,0.000716321,,,,
891,0.000593481,0.000872461,0.00047952,0.00048988,0.000721131,0.000711511,,,,
892,0.0004884,0.000755356,0.000523921,0.000623821,0.000658786,0.000760351,,,,
893,0.0003737,0.000678581,0.00037,0.00037629,0.000774041,0.000782921,,,,
894,0.00042328,0.000726311,0.00048063,0.00041403,0.000672661,0.000772191,,,,
895,0.0003996,0.000706331,0.00049654,0.000519111,0.000715211,0.000647871,,,,
896,0.00039738,0.000651016,0.000758408,0.000503663,0.000595793,0.000763126,,,,
897,0.00049543,0.000658231,0.00043475,0.000573131,0.000582751,0.000567951,,,,
898,0.00040478,0.000615311,0.00030414,0.00041255,0.000680061,0.000547231,,,,
899,0.000842491,0.000826581,0.000626041,0.000632701,0.000748141,0.000898731,,,,
900,0.000608558,0.000800033,0.00043623,0.00029193,0.000555278,0.000767288,,,,
901,0.000546861,0.000583491,0.00047323,0.00046324,0.000635661,0.000784771,,,,
902,0.000579791,0.000680061,0.00043179,0.000522071,0.000552041,0.000689681,,,,
903,0.000505883,0.000599956,0.000450105,0.000559996,0.000591908,0.000681541,,,,
904,0.000553151,0.000535021,0.000598291,0.000569801,0.000600881,0.000666001,,,,
905,0.000614571,0.000819181,0.000597181,0.00049765,0.000665631,0.000678951,,,,
906,0.000545751,0.000722241,0.00041551,0.00047471,0.000560181,0.000647501,,,,
907,0.00046398,0.000730103,0.000531413,0.000575258,0.000622156,0.000766456,,,,
908,0.00043031,0.000586451,0.000586821,0.000614571,0.000611241,0.000617161,,,,
909,0.000559071,0.000648981,0.000520961,0.000560921,0.000841751,0.000699671,,,,
910,0.000410423,0.000553891,0.000525863,0.002464202,0.000654346,0.000798368,,,,
911,0.00034373,0.000574241,0.000548341,0.051218781,0.000678581,0.000561291,,,,
912,0.00041403,0.000731491,0.00042698,0.038373848,0.000769231,0.000659341,,,,
913,0.0004921,0.000814371,0.000511341,0.013107263,0.00048137,0.000569801,,,,
914,0.000605506,0.000598291,0.000455655,0.004759685,0.000623266,0.000541126,,,,
915,0.000553151,0.000608651,0.00041995,0.001385651,0.000584601,0.00048026,,,,
916,0.000658231,0.000529841,0.000632331,0.000526881,0.000586081,0.000582751,,,,
917,0.000623266,0.000718171,0.000435675,0.00047064,0.000566933,0.000624653,,,,
918,0.000560921,0.000619011,0.000579051,0.000565361,0.000643801,0.000698931,,,,
919,0.000675991,0.000610871,0.000516521,0.000853591,0.000798461,0.000601251,,,,
920,0.000601621,0.000603286,0.000582473,0.000687646,0.000632978,0.000735376,,,,
921,0.000539461,0.000710771,0.000543161,0.007254597,0.000565731,0.000621971,,,,
922,0.000604951,0.000606431,0.000500981,0.009077959,0.000592001,0.000538721,,,,
923,0.000561938,0.000705683,0.000555556,0.003227328,0.000510878,0.000684871,,,,
924,0.00049062,0.000613831,0.00032486,0.001670552,0.000664151,0.000868761,,,,
925,0.00041921,0.00039257,0.00044511,0.000970511,0.000729271,0.000762941,,,,
926,0.000450938,0.000721778,0.000578866,0.000522811,0.000662671,0.000795871,,,,
927,0.00044548,0.000559441,0.000537611,0.000569061,0.000643801,0.000717801,,,,
928,0.00036741,0.000730751,0.000652681,0.00042883,0.000782181,0.000684501,,,,
929,0.000429015,0.000674326,0.000710123,0.000574148,0.000795871,0.000657953,,,,
930,0.000534651,0.000615311,0.000572021,0.000560921,0.000782181,0.000752211,,,,
931,0.00046472,0.000725941,0.000587191,0.00044548,0.000683021,0.000687831,,,,
932,0.000655733,0.000608003,0.000551671,0.000411533,0.000607448,0.000729271,,,,
933,0.000627891,0.000599771,0.00046546,0.00044178,0.00047471,0.000600141,,,,
934,0.000560921,0.000537611,0.00049543,0.000942021,0.000543901,0.00044141,,,,
935,0.000593296,0.000556943,0.000540848,0.001206571,0.000692641,0.000638528,,,,
936,0.000513931,0.000777741,0.0003848,0.000627521,0.000481,0.000574981,,,,
937,0.000505791,0.000664521,0.000514671,0.00047656,0.000596441,0.000628261,,,,
938,0.000502831,0.000468975,0.000571651,0.000599678,0.000778388,0.000747031,,,,
939,0.000627151,0.000599401,0.000526881,0.000509861,0.000639361,0.000828061,,,,
940,0.000616051,0.000509121,0.000614571,0.00029674,0.000606801,0.000677101,,,,
941,0.000505051,0.000698191,0.00044622,0.000487013,0.000701798,0.000578311,,,,
942,0.000604951,0.000711141,0.00039479,0.000515041,0.000703001,0.000714101,,,,
943,0.000563881,0.000536131,0.00047323,0.00044474,0.000765901,0.000556481,,,,
944,0.000449828,0.000591631,0.000594683,0.000592186,0.000534743,0.000566101,,,,
945,0.000655271,0.00048248,0.000594221,0.00049099,0.000686721,0.000609761,,,,
946,0.00043105,0.000556481,0.000573131,0.00040478,0.000568321,0.000755911,,,,
947,0.000541681,0.000529471,0.000651016,0.000614941,0.000572483,0.000793651,,,,
948,0.00037666,0.00046916,0.000509861,0.000583491,0.0004921,0.000579421,,,,
949,0.000391553,0.000473693,0.00038295,0.000538906,0.000516151,0.000547231,,,,
950,0.00043068,0.000519111,0.00049432,0.00032005,0.00048988,0.000551301,,,,
