lambda,1,2,3,4,5,6,7,8,9,10
222.232667,5.607692308,7.961538462,5.253846154,18.37692308,10.02307692,11.80769231,9.392307692,8.446153846,8.630769231,7.861538462
222.4507471,11.13076923,17.79230769,16.66923077,8.446153846,13.23846154,13.60769231,15.55384615,16.13846154,9.592307692,10.68461538
222.6688174,14.06153846,15.56153846,11.57692308,7.053846154,14.33076923,9.753846154,3.2,6.569230769,12.62307692,15.00769231
222.886878,16.26153846,14.98461538,14.60769231,13.7,14.35384615,11.33076923,10.19230769,13,29.12307692,17.86153846
223.1049289,14.11538462,10.86153846,13.78461538,8.046153846,6.130769231,8.592307692,6.153846154,12.26153846,7.623076923,9
223.3229701,12.50769231,14.54615385,15.23846154,6.1,14.95384615,8.838461538,7.384615385,14.86923077,12.08461538,8.953846154
223.5410015,1.461538462,15.48461538,7.953846154,15.75384615,12.76153846,10.59230769,4.346153846,12.46923077,8.446153846,8.584615385
223.7590231,9.576923077,5.815384615,21.63076923,10.57692308,13.06923077,15.57692308,10.01538462,8.292307692,5.207692308,8.892307692
223.977035,8.661538462,4.169230769,11.55384615,8.153846154,5.838461538,3.538461538,8.784615385,3.746153846,11.17692308,5.523076923
224.1950372,13.26923077,15.13846154,14.50769231,18.42307692,15.91538462,15,13.8,6.430769231,17.03846154,13.1
224.4130296,16.61538462,15.16153846,12.1,11.62307692,7.069230769,10.52307692,8.430769231,15.53076923,10.00769231,7.484615385
224.6310123,13.96923077,11.79230769,10.42307692,12.54615385,8.576923077,14.3,12.93846154,15.83076923,13.13076923,9.161538462
224.8489852,8.223076923,11.58461538,8.223076923,8.569230769,13.44615385,8.476923077,13.5,11.61538462,9.469230769,13.5
225.0669484,17.36153846,11.56923077,16.61538462,24.52307692,24.07692308,10.01538462,19.02307692,9.361538462,11.49230769,12.59230769
225.2849018,3.146153846,10.10769231,6.315384615,14.41538462,8.853846154,4.669230769,12.63846154,5.015384615,5.253846154,10.56923077
225.5028454,14.03076923,14.61538462,6.653846154,14.60769231,11.36923077,10.2,15.74615385,5.838461538,5.7,14.00769231
225.7207793,8.261538462,9.030769231,8.123076923,6.907692308,8.953846154,4.876923077,6.469230769,10.49230769,12.06923077,3.753846154
225.9387034,13.17692308,13.53076923,22.92307692,11.83846154,13.13846154,9.761538462,9.230769231,9.830769231,9.107692308,8.269230769
226.1566178,9.038461538,13.32307692,6.492307692,9.8,2.353846154,2.453846154,7.269230769,7.084615385,7.515384615,8.892307692
226.3745224,18.1,10.33076923,16.08461538,23.03846154,18.13076923,17.67692308,31.83846154,9.8,15.33846154,13.59230769
226.5924172,1.561538462,6.523076923,5.238461538,7.492307692,7.907692308,7.384615385,5.569230769,10.64615385,2.361538462,10.25384615
226.8103022,9.846153846,13.06153846,5.169230769,13.80769231,8.407692308,5.623076923,12.69230769,6.3,16.50769231,7.038461538
227.0281775,7.969230769,7.453846154,3.615384615,10.13846154,8.538461538,7.569230769,13.96923077,11.80769231,5.946153846,2.730769231
227.2460429,12.28461538,6.792307692,14.89230769,5.192307692,20.51538462,11.13076923,11.93846154,22.50769231,15.53846154,10.64615385
227.4638986,8.946153846,8.584615385,9.6,12.57692308,8.415384615,8.884615385,6.684615385,4.623076923,10.89230769,9.584615385
227.6817445,3.769230769,16,16.53846154,15.83076923,6.384615385,8.030769231,19.41538462,14.88461538,6.815384615,10.86923077
227.8995807,10.96153846,12.76153846,14.16923077,9.430769231,11.42307692,7.3,4.946153846,12.36153846,3.946153846,11.55384615
228.117407,15.28461538,19.23846154,16.53846154,14.75384615,18.56153846,10.54615385,12.01538462,8.284615385,8.492307692,14.09230769
228.3352236,15.25384615,3.815384615,6.838461538,7.892307692,4.646153846,15.12307692,14.3,15.06153846,6,10.5
228.5530303,10.56923077,14.92307692,9.615384615,14.43846154,11.72307692,7.446153846,13.04615385,15.49230769,14.85384615,9.461538462
228.7708273,10.23076923,11.48461538,10.18461538,7.792307692,16.11538462,10.92307692,11.91538462,8.392307692,3.307692308,8.753846154
228.9886144,15.63076923,19.53846154,15.49230769,10.77692308,19.58461538,13.19230769,20.63076923,11.28461538,5.530769231,12.63846154
229.2063918,7.992307692,11.09230769,14.56923077,15.87692308,10.48461538,10.03076923,6.138461538,2.730769231,8.769230769,10.71538462
