lambda,1,2,3,4,5,6,7,8,9,10,11
210.2233526,11.57692308,13.51538462,11.86153846,16.8,10.38461538,12.51538462,17.83846154,6.415384615,6.023076923,14.02307692,7.330769231
210.441964,10.4,2.5,7.646153846,3.130769231,5.446153846,5.276923077,10.51538462,11.44615385,12.06153846,10.8,6.830769231
210.6605658,8.823076923,6.353846154,12.53846154,12.05384615,8.776923077,13.39230769,10.68461538,11.48461538,6.415384615,12.34615385,13.66923077
210.879158,8.823076923,6.446153846,15.68461538,6.492307692,7.284615385,7.976923077,9.446153846,5.753846154,9.630769231,12.12307692,9.269230769
211.0977406,8.646153846,6.730769231,21.49230769,13.21538462,6.884615385,14.27692308,11.63076923,9.092307692,5.984615385,9.207692308,9.7
211.3163136,12.24615385,7.423076923,10.14615385,11.92307692,9.730769231,8.576923077,9.884615385,5.523076923,11.44615385,10.57692308,5.984615385
211.534877,6.123076923,9.461538462,13.86923077,10.48461538,8.738461538,20.85384615,10.90769231,9.438461538,13.32307692,8.923076923,11.33076923
211.7534308,10.79230769,1.476923077,5.384615385,2.261538462,9.923076923,11.55384615,7.876923077,14.45384615,4.007692308,11.67692308,6.507692308
211.971975,18.2,9.361538462,9.992307692,9.615384615,13.31538462,13.62307692,18.36923077,21.53076923,12.01538462,7.292307692,10.49230769
212.1905096,14.49230769,11.59230769,13.9,8.776923077,6.746153846,8,7.969230769,13.20769231,10.35384615,15.56923077,6.376923077
212.4090345,14.88461538,4.138461538,8.4,14.68461538,9.292307692,7.769230769,6.746153846,12.83846154,9.830769231,13.96153846,13.40769231
212.6275499,10.34615385,6.930769231,11.60769231,11.5,6.346153846,9.753846154,13.16153846,6.315384615,11.04615385,7.876923077,2.238461538
212.8460556,11.09230769,11.69230769,10.68461538,12.40769231,9.492307692,13.65384615,4.553846154,5.753846154,13.07692308,5.261538462,10.84615385
213.0645517,5.930769231,5.215384615,14.83076923,6.969230769,12.43846154,13.16923077,14,8.669230769,11.56923077,10.7,4.153846154
213.2830381,18.37692308,12.52307692,9.969230769,19.59230769,7.861538462,8.623076923,14.96153846,15.33846154,10.75384615,10.45384615,6.123076923
213.501515,13.93846154,11.41538462,5.7,7.446153846,7.692307692,5.8,3.946153846,11.24615385,8.761538462,13.33076923,13.96153846
213.7199822,7.369230769,10.26923077,15.19230769,9.015384615,11.14615385,14.90769231,15.54615385,8.107692308,10.29230769,13.43076923,15.30769231
213.9384398,6.884615385,3.723076923,6.630769231,4.776923077,15.06153846,10.34615385,15.56153846,13.13846154,9.346153846,5.715384615,8.676923077
214.1568877,14.83846154,5.169230769,15.42307692,13,4.276923077,12.69230769,13.16923077,11.70769231,14.53076923,14.44615385,4.430769231
214.3753261,5.423076923,10.54615385,8.830769231,7.1,7.823076923,7.515384615,8.684615385,3.346153846,11.09230769,10.81538462,12.80769231
214.5937547,8.453846154,10.48461538,11.92307692,15.28461538,12.80769231,13.77692308,11.07692308,12.77692308,5.869230769,11.65384615,10.83846154
214.8121738,17.90769231,6.884615385,10.86153846,14.16153846,5.015384615,12.39230769,8.376923077,10.85384615,10.91538462,13.8,13.12307692
215.0305832,6.923076923,5.6,13.51538462,21.09230769,10.84615385,6.576923077,8.292307692,6.784615385,14.6,6.107692308,7.646153846
215.2489829,11.09230769,8.046153846,7.684615385,10.04615385,8.246153846,12.61538462,9.261538462,11.60769231,9.592307692,6.123076923,5.7
215.467373,8.146153846,7.107692308,6.523076923,13.80769231,10,8.830769231,9.346153846,7.3,14.75384615,14.76923077,8.9
215.6857534,11.63846154,4.684615385,6.776923077,9.184615385,19.43846154,17.6,8.907692308,12.22307692,11.84615385,11.04615385,6.153846154
215.9041242,6.853846154,7.346153846,7.623076923,16.66153846,9.715384615,12.43846154,16.46153846,11.93846154,17.34615385,16,11.37692308
216.1224854,14.75384615,6.053846154,6.3,9.915384615,5.069230769,9.484615385,7.046153846,4.492307692,4.084615385,15.30769231,7.361538462
216.3408368,12.06923077,5.392307692,7.623076923,11.56153846,16.50769231,11.47692308,15.21538462,14.8,9.523076923,11.74615385,9.938461538
216.5591787,8.007692308,18.33846154,4.292307692,10.07692308,3.776923077,11.11538462,10.69230769,7.669230769,9.769230769,3.807692308,9.992307692
216.7775108,9.553846154,6.069230769,17.13846154,9.746153846,8.123076923,11.23076923,18.96153846,8.607692308,17.86153846,16.34615385,9.8
216.9958333,13.60769231,10.83076923,14.8,11.88461538,6.046153846,15.76923077,10.64615385,16.12307692,9.915384615,8.615384615,7.676923077
217.2141461,17.93076923,16.30769231,4.438461538,9.815384615,10.87692308,13.70769231,16.15384615,5.246153846,10.62307692,11.37692308,8.053846154
217.4324493,2.776923077,7.207692308,10.74615385,8.553846154,13.6,9.253846154,15.42307692,10.53846154,4.5,1.161538462,11.54615385
217.6507427,11.33076923,10.88461538,3.838461538,9.823076923,10.25384615,7.115384615,19.55384615,7.807692308,12.91538462,7.353846154,6.8
217.8690265,4.3,16.61538462,12.12307692,8.7,8.361538462,8.446153846,15.79230769,7.723076923,8,11.9,10.43076923
218.0873007,11.36923077,9.553846154,11.21538462,12.85384615,15.63846154,7.730769231,3.015384615,8.476923077,11.13846154,14.32307692,12.93076923
218.3055651,6.938461538,4.830769231,9.061538462,5.923076923,8.453846154,15.86153846,10.43846154,9.792307692,8.607692308,16.50769231,8.946153846
218.5238199,11.28461538,10.96153846,12.55384615,14.78461538,16.59230769,19.35384615,15.8,13.80769231,17.5,20.39230769,8
218.7420649,10.59230769,4.215384615,14.01538462,10.88461538,5.161538462,7.153846154,4.738461538,5.015384615,11.21538462,12.98461538,9.430769231
218.9603003,16.73076923,9.030769231,7.184615385,9.738461538,9.592307692,9.146153846,14.2,11.95384615,12.29230769,13.73846154,10.16153846
219.178526,12.65384615,3.238461538,7.792307692,4.361538462,5.9,9.369230769,9.846153846,8.223076923,11.10769231,8.692307692,3.738461538
219.396742,11.67692308,9.038461538,9.076923077,9.138461538,8.084615385,10.49230769,10.20769231,5.5,5.161538462,11.48461538,6.753846154
219.6149484,14.50769231,4.330769231,8.130769231,9.715384615,7.392307692,9.815384615,13.4,15.96153846,9.369230769,13.96923077,6.876923077
219.833145,10.46153846,1.638461538,15.02307692,8.623076923,10.47692308,13.17692308,9.084615385,4.553846154,18.3,15.09230769,19.27692308
220.0513319,2.769230769,7.8,5.661538462,18.47692308,5.776923077,8.476923077,2.123076923,12.23846154,6.946153846,11.97692308,7.561538462
220.2695091,18.39230769,10.21538462,16.56153846,6.7,15.33076923,9.776923077,8.369230769,14.8,18.88461538,12.29230769,10.38461538
220.4876766,4.853846154,5.084615385,14.49230769,7.938461538,7.638461538,15.50769231,6.869230769,9.953846154,8.484615385,12.56923077,12.86923077
220.7058344,11.76923077,10.21538462,13.58461538,9.707692308,7.4,17.53076923,11.3,14.45384615,11.4,9.184615385,9.453846154
220.9239825,6.938461538,6.969230769,6.376923077,12.67692308,6.738461538,9.9,3.530769231,5.8,6.053846154,19.04615385,9.607692308
221.1421209,14.16153846,12.33076923,8.623076923,12.31538462,10.50769231,9.4,10.16923077,12.20769231,9.492307692,6.484615385,9.346153846
221.3602496,13.49230769,3.446153846,3.676923077,10.86153846,12.26153846,8.430769231,5.546153846,7.553846154,4.3,14.76923077,5.169230769
221.5783685,16.40769231,4.092307692,7.761538462,8.353846154,5.576923077,13.62307692,17.81538462,8.923076923,7.3,20.74615385,11.91538462
221.7964777,14.67692308,4.3,7.8,12.87692308,11.61538462,11.11538462,6.238461538,9.769230769,6.261538462,9.676923077,5.015384615
222.0145773,10.34615385,5.453846154,12.53076923,4.769230769,10.91538462,12.03846154,9.215384615,12.96923077,22.55384615,15.44615385,6.538461538
222.232667,11.02307692,4.584615385,13.06923077,5.2,9.969230769,14.14615385,4.7,5.892307692,12.33846154,12.37692308,2.353846154
222.4507471,15.96923077,12.08461538,13.97692308,13.01538462,15.46153846,8.815384615,7.753846154,15.59230769,18.23076923,11.94615385,8.807692308
222.6688174,17.65384615,5.138461538,7.784615385,7.061538462,8.807692308,5.338461538,9.815384615,6.353846154,13.07692308,7.346153846,4.4
222.886878,11.24615385,4.292307692,9.569230769,23.07692308,12.17692308,12.23076923,16.87692308,18.5,7.769230769,13.87692308,14.92307692
223.1049289,7.515384615,1.884615385,6.630769231,4.353846154,12.17692308,12.59230769,6.592307692,5.046153846,5.438461538,8.607692308,10.54615385
223.3229701,6.153846154,11.76153846,7.976923077,7.584615385,12.53846154,10.97692308,13.13076923,10.7,11.02307692,7.1,17.45384615
223.5410015,4.923076923,6.061538462,8.484615385,12.8,10.07692308,4.615384615,15.75384615,3.230769231,2.530769231,16.55384615,14.14615385
223.7590231,9.753846154,9.815384615,5.815384615,21.71538462,6.738461538,19.43076923,10.06153846,11.96153846,11.33846154,10.56923077,7.169230769
223.977035,12.85384615,6.946153846,6.784615385,6.230769231,7.630769231,14.07692308,8.361538462,6.369230769,7.576923077,15.76923077,4.461538462
224.1950372,19.09230769,16.80769231,10.63076923,16.43076923,4.876923077,6.838461538,10.96153846,15.84615385,15.43076923,12.65384615,14.06923077
224.4130296,17.06923077,6.215384615,11.33846154,15.43846154,5.915384615,9.846153846,4.969230769,9.623076923,11.96923077,12.85384615,7.1
224.6310123,13.06923077,8.653846154,10.1,10.6,9.176923077,11.04615385,19.36923077,15.32307692,10.02307692,17.52307692,10.30769231
224.8489852,6.707692308,13.33846154,5.1,14.43076923,11.86923077,4.323076923,9.669230769,13.26923077,9.861538462,13.20769231,2.915384615
225.0669484,10.81538462,6.553846154,7.053846154,14.17692308,14.00769231,17.56923077,5.346153846,12.81538462,6.446153846,12.27692308,11.43076923
225.2849018,10.09230769,2.730769231,8.484615385,10.33076923,9.984615385,12.91538462,8.161538462,8.684615385,15.00769231,13.71538462,8.046153846
225.5028454,13.74615385,10.30769231,12.16923077,14.53846154,8.446153846,14.54615385,15.51538462,15.9,11.84615385,11.93846154,10.98461538
225.7207793,9.938461538,5.907692308,4.261538462,12.4,7.215384615,7.269230769,10.75384615,6.515384615,4.323076923,17.15384615,8.030769231
225.9387034,6.9,16.44615385,6.546153846,17.5,6.392307692,8.446153846,14.48461538,17.38461538,7.892307692,17.42307692,17.92307692
226.1566178,8.4,4.046153846,9.653846154,10.87692308,5.530769231,12.21538462,12.43846154,8.884615385,4.838461538,10.5,4.923076923
226.3745224,14.63846154,20.35384615,15.91538462,15,11.80769231,18.40769231,16.51538462,10.74615385,12.13846154,20.85384615,9.553846154
226.5924172,5.392307692,4.569230769,4.846153846,8.415384615,6.261538462,8.330769231,7.253846154,8.8,10.13076923,7.869230769,8
226.8103022,13.64615385,7.446153846,12.38461538,13.88461538,10.26923077,5.876923077,1.807692308,14.94615385,11.48461538,13.43076923,17.37692308
227.0281775,5.638461538,10.02307692,7.507692308,15.81538462,6.738461538,4.676923077,12.9,12.9,4.538461538,18.25384615,13.66923077
227.2460429,11.46153846,10.81538462,9.323076923,23.24615385,10.55384615,22.54615385,14.21538462,18.58461538,13.12307692,15.99230769,7.215384615
227.4638986,10.16153846,11.79230769,7.961538462,11.43076923,10.63846154,13.33076923,4.815384615,7.276923077,6.484615385,12.02307692,8.815384615
227.6817445,11.63846154,13.85384615,10.12307692,19.70769231,8.715384615,20.23076923,6.815384615,16.2,11.5,14.32307692,6.146153846
227.8995807,5.169230769,3.769230769,6.984615385,7.138461538,11.59230769,9.669230769,11.36153846,7.369230769,8.084615385,6.292307692,14
228.117407,13.2,7.061538462,13.03076923,12.99230769,12.60769231,9.615384615,14.30769231,7.823076923,5.507692308,14.62307692,7.684615385
228.3352236,10.24615385,6.230769231,4.661538462,15.9,8.753846154,11.17692308,5.276923077,16.18461538,13.04615385,14.83076923,6.476923077
228.5530303,15.98461538,13.45384615,16.63846154,7.646153846,4.923076923,10.02307692,4.046153846,10.30769231,10.31538462,9.669230769,15.36923077
228.7708273,15.04615385,6.876923077,6.615384615,13.29230769,10.23846154,13.61538462,8.207692308,7.184615385,7.692307692,5.761538462,5.084615385
228.9886144,6.176923077,5.915384615,12.90769231,18.58461538,14.01538462,14.85384615,12.80769231,17.17692308,15.58461538,14.65384615,1.923076923
229.2063918,7.046153846,9.492307692,13.36153846,12.89230769,3.484615385,12.25384615,4.715384615,18.45384615,15.13846154,12.18461538,13.37692308
229.4241593,19.12307692,2.884615385,8.561538462,12.50769231,4.823076923,3.423076923,8.276923077,4.146153846,10.32307692,9.7,9.784615385
229.6419171,8.169230769,1.3,7.3,8.607692308,5.061538462,15.09230769,6.8,8.992307692,5.430769231,13.03076923,5.530769231
229.859665,11.74615385,7.153846154,13.16153846,22.66153846,6.530769231,7.2,12.84615385,13.89230769,12.75384615,20.68461538,14.07692308
230.0774032,10.26153846,12.26923077,7.876923077,10.10769231,3.123076923,18.31538462,5.746153846,2.253846154,5.184615385,15.57692308,10.30769231
230.2951315,19.53846154,5.707692308,11.77692308,14.46923077,7.684615385,7.707692308,13.44615385,17.2,11.33846154,13.26153846,11.16923077
230.51285,6.376923077,7.138461538,8.284615385,8.330769231,13.96923077,8.315384615,6.769230769,12.67692308,10.81538462,13.36153846,12.49230769
230.7305587,15.07692308,10.56923077,15.81538462,12.16153846,10.06923077,10.66923077,11.79230769,12.72307692,14.93076923,14.09230769,10.85384615
230.9482575,12.76153846,10.26923077,7.607692308,8.346153846,5.4,5.6,12.87692308,6.946153846,8.546153846,10.70769231,4.092307692
231.1659466,13.93076923,5.123076923,14.03846154,9.123076923,12.15384615,14.76923077,24.85384615,10.37692308,12.82307692,13.98461538,16.08461538
231.3836258,14.34615385,8.323076923,10.95384615,6.523076923,3.146153846,9.592307692,4.661538462,8.669230769,10.23846154,18.41538462,4.469230769
231.6012952,4.246153846,6.046153846,15.34615385,6.161538462,5.830769231,9.830769231,5.761538462,9.169230769,7.1,15.68461538,11.03846154
231.8189547,11.25384615,9.269230769,11.47692308,11.88461538,5.284615385,12.19230769,9.753846154,10.02307692,7.361538462,7.653846154,10.10769231
232.0366045,11.44615385,12.97692308,8.538461538,7.553846154,9.346153846,8.815384615,9.269230769,10.92307692,11.62307692,13.57692308,12.75384615
232.2542444,8.569230769,5.476923077,7.476923077,10.42307692,10.48461538,12.99230769,9.292307692,9.969230769,11.78461538,11.11538462,6.469230769
232.4718744,17.03076923,10.5,9.653846154,13.49230769,6.384615385,11.07692308,12.53076923,11.56923077,10.03076923,19.63076923,11.53846154
232.6894946,5.623076923,9.953846154,4.792307692,14.7,12.79230769,13.93076923,7.630769231,6.676923077,4.176923077,6.153846154,6.576923077
232.907105,18.12307692,9.9,10.96153846,10.96923077,9.553846154,8.346153846,9.576923077,11.83076923,13.46923077,18.33076923,12.06153846
233.1247055,12.42307692,2.446153846,8.415384615,7.238461538,5.892307692,11.36923077,15.40769231,5.9,7.992307692,7.992307692,13.12307692
233.3422962,13.46923077,11.02307692,5.515384615,19.51538462,6.338461538,19.29230769,5.469230769,10.85384615,8.584615385,16.90769231,11.52307692
233.559877,9.423076923,5.084615385,6.723076923,15.2,4.423076923,3.207692308,10.87692308,12.67692308,7.669230769,12.58461538,4.553846154
233.777448,14.22307692,11.3,10.87692308,7.915384615,18.73846154,12.77692308,1.038461538,11.64615385,19.7,19.04615385,8.423076923
233.9950092,7.569230769,14.13846154,12.03076923,7.907692308,5.569230769,4.392307692,5.515384615,11.24615385,6.592307692,16.70769231,3.969230769
234.2125604,13.35384615,11.64615385,9.969230769,13.74615385,9.5,9.607692308,21.46153846,15.12307692,11.40769231,18.22307692,17.76153846
234.4301018,9.361538462,9.692307692,8.515384615,10.11538462,11.33846154,11.45384615,10.48461538,4.407692308,9.430769231,5.653846154,9.646153846
234.6476334,10.92307692,11.56153846,23.49230769,7.830769231,10.60769231,8.269230769,14.1,9.469230769,13.5,10.76923077,8.676923077
234.8651551,21.93076923,3.253846154,6.523076923,11.18461538,12.16153846,8.5,6.7,4.223076923,12.73076923,8.776923077,6.576923077
235.0826669,11.96923077,14.75384615,10.36923077,19.27692308,15.10769231,8.269230769,10.76923077,5.015384615,10.53076923,9.669230769,11.31538462
235.3001688,9.353846154,5.092307692,7.830769231,4.815384615,10.94615385,14.7,13.84615385,17.06153846,9.376923077,11.48461538,6.392307692
235.5176609,17.60769231,13.13076923,8.323076923,8.215384615,9.684615385,13.26923077,15.55384615,13.82307692,9.523076923,14.89230769,12.83846154
235.7351431,10.3,5.115384615,8.823076923,10.99230769,4.753846154,6.669230769,7.3,7.553846154,7.730769231,11.93076923,11.42307692
235.9526155,10.30769231,6.376923077,11.45384615,12.51538462,8.661538462,6.446153846,10.63076923,11.17692308,9.307692308,14.32307692,6.438461538
236.1700779,11.00769231,10.65384615,3.476923077,8.8,8.376923077,17.03076923,8.553846154,19.2,7.707692308,5.576923077,7.361538462
236.3875305,10.66923077,5.869230769,13.07692308,15.96153846,7.292307692,9.607692308,18.26153846,3.1,11.46923077,9.838461538,8.976923077
236.6049732,5.730769231,10.33076923,5.3,5.346153846,7.3,13.07692308,8.646153846,9.138461538,8.6,7.6,10.63076923
236.822406,16.03846154,5.484615385,12.95384615,13.47692308,12.39230769,16.76923077,13.88461538,14.47692308,5.046153846,15.67692308,5.276923077
237.0398289,7.092307692,12.02307692,8.430769231,4.746153846,10.88461538,11.83846154,10.13846154,15.83846154,4.876923077,16.52307692,11.36923077
237.2572419,8.230769231,6.061538462,12.93076923,11.23846154,9.323076923,9.830769231,12.86923077,8.461538462,17.94615385,5.753846154,6.176923077
237.474645,8.392307692,9.446153846,5.115384615,3.030769231,6.723076923,11.30769231,6.692307692,9.446153846,3.984615385,14.07692308,12.23846154
237.6920383,8.730769231,3.546153846,16.79230769,8.584615385,6.846153846,13.53076923,13.76153846,10.26153846,9.576923077,7.884615385,7.692307692
237.9094216,16.96153846,9.2,1.307692308,14.91538462,11.00769231,10.40769231,14.02307692,11.86153846,2.038461538,12.00769231,8.869230769
238.126795,13.8,12.57692308,13.38461538,12.93846154,16.13076923,9.807692308,5.007692308,15.73846154,14.36923077,17.57692308,11.5
238.3441586,17.83076923,5.8,7.169230769,11.23846154,9.884615385,7.715384615,7.807692308,9.115384615,12.21538462,15.59230769,11.52307692
238.5615122,4.676923077,13.03846154,8.046153846,4.8,17.5,6.3,13.14615385,11.72307692,21.65384615,18.86923077,12.83076923
238.7788559,13.76923077,5.546153846,9.469230769,6.230769231,8.346153846,21.86923077,12.01538462,10.94615385,4.907692308,11.02307692,4.207692308
238.9961897,5.7,2.930769231,6.230769231,10.77692308,5.707692308,11.03846154,20.06153846,6.769230769,10.12307692,12.67692308,4.892307692
239.2135136,6.661538462,4.646153846,9.946153846,14.5,11.90769231,2.276923077,11.81538462,8.407692308,10.68461538,15.64615385,6.523076923
239.4308276,12.3,15.77692308,12.26153846,11.18461538,16.65384615,16.95384615,11.37692308,5.746153846,6.476923077,18.26153846,12.46923077
239.6481317,4.8,5.769230769,12.2,21.2,1.553846154,17.10769231,7.207692308,9.284615385,7.2,13.04615385,6.253846154
239.8654259,13.59230769,3.715384615,8.130769231,15.58461538,6.876923077,7.5,10.82307692,7.492307692,16.80769231,18.73076923,11.71538462
240.0827101,7.646153846,6.3,5.015384615,23.18461538,7.2,12.50769231,12.61538462,6.676923077,16.28461538,11.29230769,7.076923077
240.2999844,9.446153846,10.96153846,7.192307692,7.661538462,10.37692308,10.27692308,8.553846154,10.31538462,9.807692308,26.6,7.892307692
240.5172488,4.407692308,12.00769231,9.215384615,10.98461538,10.85384615,11.03076923,2.7,9.007692308,15.55384615,4.330769231,10.9
240.7345032,11.40769231,10.46153846,9.523076923,9.830769231,4.169230769,11.2,10.66153846,7.907692308,19.27692308,11.06153846,12.83846154
