lambda,1,2,3,4,5,6,7,8,9,10
211.3163136,13.53846154,6.861538462,9.184615385,10.10769231,8.146153846,8.584615385,13.26153846,9.907692308,12.50769231,18.00769231
211.534877,15.37692308,8.669230769,13.16153846,10,14.94615385,19.70769231,21.04615385,6.853846154,14.36923077,23.03846154
211.7534308,6.561538462,14.36923077,9.446153846,8.876923077,12.39230769,9.023076923,4.792307692,4.515384615,9.915384615,13.56923077
211.971975,18.41538462,19.00769231,12.29230769,9.707692308,12.8,12.89230769,13.42307692,11.47692308,6.469230769,14.68461538
212.1905096,13.16923077,7.915384615,5.007692308,4.053846154,5.976923077,8.507692308,16.1,9.630769231,11.44615385,15.84615385
212.4090345,10.43076923,9.061538462,19.65384615,11.03846154,10.52307692,7.907692308,13.16153846,7.230769231,7.292307692,6.884615385
212.6275499,8.969230769,13.77692308,13.19230769,6.646153846,8.807692308,14.00769231,13.23846154,15.11538462,13.62307692,16.51538462
212.8460556,14.78461538,14.47692308,9.9,11.70769231,10.44615385,16.76153846,12.40769231,12.12307692,11.27692308,15.88461538
213.0645517,8.307692308,10.09230769,6.530769231,5.276923077,12.93846154,13.30769231,11.8,10.15384615,9.461538462,13.91538462
213.2830381,28.8,14.46923077,9.953846154,10.21538462,15.08461538,21.95384615,13.81538462,16.75384615,8.615384615,10.57692308
213.501515,8.153846154,13.71538462,11.91538462,11.85384615,15.72307692,9.953846154,10.38461538,8.761538462,6.507692308,9.015384615
213.7199822,11.22307692,16.32307692,11.40769231,9.638461538,10.98461538,12.17692308,16.76923077,10.06153846,10.18461538,16.08461538
213.9384398,3.161538462,13.1,9.784615385,12.50769231,6.323076923,14.35384615,15.06923077,11.26153846,12.8,10.33846154
214.1568877,15.73846154,8.415384615,10.89230769,12.47692308,14.38461538,13.87692308,12.08461538,28.20769231,7.307692308,20.01538462
214.3753261,13.82307692,8.661538462,13.78461538,10.34615385,10.5,9.453846154,17.10769231,8.092307692,7.407692308,9.030769231
214.5937547,10.90769231,22.83846154,7.907692308,20.6,9.315384615,17.47692308,21.51538462,9.038461538,12.36923077,16.13846154
214.8121738,10.3,9.7,11.46923077,8.753846154,13.14615385,8.469230769,5.992307692,14.68461538,8.176923077,7.107692308
