lambda,1,2,3,4,5,6,7,8,9,10,11
204.3172265,4.815384615,10.73076923,9.630769231,2.084615385,6.753846154,6.453846154,8.053846154,5.615384615,7.276923077,11.53846154,9.215384615
204.5360961,8.253846154,15.53846154,14.92307692,11.68461538,12.58461538,9.853846154,15.35384615,17.9,22.01538462,17.48461538,14.98461538
204.7549561,7.715384615,7.769230769,12.07692308,9.853846154,4,7.115384615,16.73076923,18.77692308,7.169230769,12.20769231,10.42307692
204.9738066,8.215384615,16.46923077,17.24615385,14.38461538,12.50769231,10.30769231,10.81538462,10.46153846,14.87692308,17.3,20.96923077
205.1926476,4.207692308,11.63846154,15.06153846,18.53846154,11.70769231,8.515384615,3.976923077,11.69230769,6.361538462,15.86153846,12.09230769
205.411479,12.66153846,14.26923077,24.83076923,9.592307692,15.05384615,10.18461538,19.45384615,12.50769231,19.03076923,21.35384615,14.21538462
205.6303009,16.97692308,13.86923077,12.03076923,8.907692308,5.615384615,16.96923077,11.84615385,13.82307692,8.361538462,6.707692308,7.661538462
205.8491133,7.476923077,12.00769231,15.36923077,7.492307692,9.253846154,10.75384615,13.14615385,7.092307692,16.62307692,12.49230769,10.20769231
206.0679161,9.815384615,5.676923077,7.076923077,14.86923077,6.576923077,3.123076923,13.21538462,11.20769231,8.761538462,13.58461538,5.530769231
206.2867093,12.46923077,5.076923077,12.66923077,11.25384615,9.038461538,5.676923077,18.41538462,17.79230769,17.47692308,10.61538462,14.55384615
206.505493,5.330769231,10.26153846,17.20769231,13.66923077,9.338461538,8.753846154,12.54615385,5.176923077,9.161538462,12.01538462,15.63076923
206.7242672,3.630769231,9.407692308,13.81538462,7.376923077,12.85384615,12.89230769,12.43076923,13.40769231,13.83846154,13.53846154,13.85384615
206.9430318,6.969230769,10.53076923,10,6.115384615,5.769230769,7.269230769,13.78461538,7.438461538,18.55384615,8.184615385,10.37692308
207.1617868,14.93846154,14.04615385,13.42307692,13.80769231,10.96923077,14.17692308,9.107692308,10.90769231,7.092307692,17.55384615,17.4
207.3805323,6.823076923,10.26923077,14.03846154,9.330769231,8.361538462,6.861538462,19.38461538,6.653846154,10.82307692,13.18461538,8.192307692
207.5992682,9.176923077,9.215384615,6.046153846,9.707692308,10.28461538,5.976923077,12.62307692,5.853846154,10.30769231,15.58461538,17.26923077
207.8179946,9.123076923,11.53076923,9.784615385,13.39230769,12.41538462,3.407692308,6.607692308,14.65384615,7.769230769,5.038461538,15.8
208.0367114,10.18461538,12.3,10.65384615,12.04615385,9.207692308,5.376923077,10.23076923,9.023076923,16.57692308,15.21538462,16.76923077
208.2554186,5.984615385,10.96153846,13.40769231,15.70769231,6.984615385,7.530769231,19.68461538,10.94615385,5.238461538,8.084615385,23.88461538
208.4741162,8.269230769,11.05384615,5.153846154,12.78461538,8.684615385,7.492307692,13.23846154,16.60769231,10.53846154,19.10769231,19.91538462
208.6928043,8.330769231,11.07692308,3.4,7.676923077,6.884615385,4.038461538,6.784615385,11.9,10.20769231,16.73846154,13.68461538
208.9114828,7.638461538,8.246153846,11.36923077,9.246153846,12.34615385,4.269230769,11.37692308,11.48461538,15.38461538,11.73076923,20.64615385
209.1301517,6.138461538,6.292307692,6.776923077,8.407692308,13.09230769,9.946153846,10.89230769,13.44615385,16.37692308,13.97692308,9.069230769
209.3488111,18.80769231,8.946153846,13.28461538,10.46153846,16.46153846,8.092307692,16.03846154,19.58461538,16.50769231,9.015384615,17.66153846
209.5674608,12.57692308,16.55384615,8.776923077,10.73076923,11.89230769,5.5,10.24615385,11.11538462,9.430769231,10.16923077,10.70769231
209.786101,5.9,13.13846154,18.33076923,16.16153846,12.7,15.96923077,13.97692308,24.79230769,13.87692308,18.55384615,4.161538462
210.0047316,10.5,18.64615385,18.76923077,17.65384615,4.492307692,6.669230769,4.123076923,8.723076923,8.223076923,9.4,6.261538462
210.2233526,14.78461538,13.2,11.58461538,14.06923077,17.92307692,4.707692308,16.83076923,4.723076923,24.15384615,11.23846154,14.11538462
210.441964,10.47692308,3.146153846,12.20769231,6.692307692,6.946153846,3.138461538,2.676923077,6.3,4.307692308,12.31538462,10.99230769
210.6605658,9.823076923,17.35384615,16.38461538,12.88461538,12.51538462,16.13076923,13.03846154,9,14.16153846,13.95384615,11.33846154
210.879158,8.884615385,9.769230769,5.976923077,9.030769231,13.04615385,9.653846154,8.876923077,15.21538462,12.87692308,10.46153846,12.4
211.0977406,17.31538462,4.976923077,8.046153846,7.061538462,11.06153846,15.03846154,20.5,18.49230769,6.623076923,10.58461538,13.95384615
211.3163136,5.692307692,16.95384615,11.41538462,12.56923077,3.376923077,11.37692308,18.65384615,3.315384615,12.4,10.21538462,13.10769231
211.534877,13.36153846,19.33846154,11.13076923,8.284615385,14.76923077,16.28461538,13.9,14.51538462,14.74615385,16.30769231,21.88461538
211.7534308,4.830769231,12.83076923,9.246153846,13.05384615,10.93846154,9.553846154,9.169230769,11.40769231,10.53076923,7.907692308,11.16153846
211.971975,13,12.82307692,6.907692308,18.98461538,9.407692308,10.71538462,5.884615385,19,7.815384615,13.22307692,7.830769231
212.1905096,5.384615385,7.930769231,5.892307692,1.638461538,12.20769231,13.44615385,12.67692308,14.08461538,10.96923077,6.353846154,4.438461538
212.4090345,15.78461538,22.41538462,13.59230769,13.56923077,16.30769231,21.96153846,11.13076923,12.41538462,9.684615385,19.96153846,5.730769231
212.6275499,6.646153846,19.23076923,2.976923077,4.230769231,19.63076923,3.907692308,13.50769231,16.41538462,15.26153846,12.18461538,12.72307692
212.8460556,7.823076923,14.05384615,15.50769231,9.469230769,9.146153846,7.776923077,14.40769231,17.75384615,15.3,12.78461538,19.00769231
213.0645517,18.71538462,10.13846154,19.02307692,3.892307692,3.069230769,15.88461538,10.38461538,9.092307692,9.638461538,10.26153846,15.35384615
213.2830381,9.361538462,13.13076923,19.08461538,10.34615385,18.5,13.13076923,8.969230769,19.03846154,16.73076923,16.43076923,15.44615385
213.501515,5.253846154,8.338461538,9.969230769,3.084615385,10.77692308,12.13846154,5.961538462,9.353846154,5.515384615,10.33076923,7.707692308
213.7199822,10.18461538,13.07692308,10.79230769,5.607692308,8.176923077,5.569230769,12.71538462,8.907692308,14.26153846,14.56153846,17.53076923
213.9384398,7.2,8.469230769,4.838461538,10.81538462,6.176923077,4.2,12.33846154,6.715384615,13.06153846,8.753846154,11.90769231
214.1568877,6.069230769,14.17692308,18.50769231,12.61538462,12.33846154,9.330769231,7.176923077,15.70769231,18.46153846,20.86153846,9.323076923
214.3753261,13.96923077,14.92307692,10.60769231,10.67692308,13.26923077,11.27692308,10.40769231,14.8,14.32307692,5.738461538,14.78461538
214.5937547,9.446153846,16.02307692,7.730769231,10.1,19.53076923,5.6,16.62307692,4.438461538,10.93076923,12.83846154,7.169230769
214.8121738,12.9,9.530769231,8.653846154,5.376923077,9.776923077,8.015384615,13.70769231,8.584615385,7.776923077,6.307692308,6.438461538
215.0305832,16.40769231,13.1,13.30769231,10.70769231,11.41538462,11.94615385,13.60769231,17.92307692,11.29230769,7.107692308,16.09230769
215.2489829,15.98461538,3.761538462,6.961538462,13.48461538,10.70769231,4.084615385,10.29230769,10.56923077,12.86153846,12.13076923,8.138461538
215.467373,5.453846154,9.630769231,8.823076923,17.20769231,18.67692308,21.27692308,25.68461538,14.34615385,11.66923077,18.01538462,17.55384615
215.6857534,3.646153846,9.723076923,11.07692308,9.030769231,3.807692308,8.176923077,8.507692308,11.32307692,12.26153846,16.85384615,7.415384615
215.9041242,13.41538462,9.515384615,7.961538462,9.523076923,6.153846154,6.607692308,19.16923077,24.74615385,20.83076923,15.75384615,14.09230769
216.1224854,17.87692308,6.261538462,12.9,10.46923077,10.90769231,17.1,11.65384615,15.89230769,9.776923077,6.830769231,7.530769231
216.3408368,8.730769231,19.81538462,12.24615385,20.03076923,1.9,20.86153846,13.56153846,13.94615385,11.91538462,13.4,15.6
216.5591787,5.007692308,8.507692308,9.515384615,7.869230769,15.73846154,5.676923077,13.83076923,13.31538462,15.47692308,10.23846154,2.969230769
216.7775108,8.5,17.93076923,17.50769231,8.346153846,18.15384615,15.58461538,23.4,10.22307692,22.20769231,23.68461538,14.85384615
216.9958333,11.79230769,11.89230769,13.07692308,18.19230769,5.830769231,12.06153846,13.04615385,7.123076923,5.076923077,17.48461538,8.123076923
217.2141461,14.54615385,9.253846154,13.53076923,9.276923077,5.9,10,8.361538462,15.22307692,15.38461538,6.638461538,9.353846154
217.4324493,11.86923077,10.33076923,15.36153846,10.51538462,7.884615385,12.91538462,12.95384615,5.946153846,12.26153846,11.86923077,16.56923077
217.6507427,17.77692308,10.69230769,15.2,14.04615385,14.75384615,4.746153846,14.41538462,7.976923077,13.92307692,15.47692308,11.61538462
217.8690265,6.084615385,6.815384615,15.39230769,5.584615385,10.5,7.707692308,3.384615385,7.946153846,6.207692308,7.976923077,9.161538462
218.0873007,6.761538462,18.67692308,6.438461538,5.430769231,12.02307692,9.684615385,8.284615385,21.40769231,12.60769231,13.23846154,11.49230769
218.3055651,9.169230769,14.74615385,12.1,11.04615385,11,8.6,6.146153846,10.26153846,7.884615385,10.54615385,10.48461538
218.5238199,10,13.85384615,22.38461538,7.230769231,9.715384615,16.88461538,17.30769231,11.66923077,15.16923077,14.06923077,12.48461538
218.7420649,18.83076923,6.307692308,14.2,9.376923077,8.253846154,5.123076923,12.60769231,5.846153846,11.62307692,7.192307692,11.93076923
218.9603003,7.938461538,12.26923077,16.41538462,8.115384615,7.2,6.7,19.93846154,11.64615385,11.66923077,16.97692308,15.39230769
219.178526,4.984615385,15.94615385,18.5,12.48461538,11.53846154,10.16923077,7.446153846,8.807692308,10.85384615,9.507692308,5.107692308
219.396742,8.561538462,17.48461538,7.161538462,15.14615385,9.192307692,11.90769231,11.25384615,21.38461538,9.384615385,13.50769231,21.4
219.6149484,4.361538462,9.2,12.90769231,2.276923077,17.03846154,9.646153846,15.12307692,15.95384615,14.04615385,16.73846154,20.36153846
219.833145,15.93076923,7.561538462,24.23076923,11,11.29230769,15.46923077,18.43846154,11.97692308,16.56153846,14.59230769,15.93076923
220.0513319,8.915384615,9.6,13.60769231,16.2,4.630769231,9.115384615,16.92307692,15.70769231,5.8,10.23076923,15.03846154
220.2695091,21.67692308,10.56153846,9.376923077,8.961538462,8.2,9.661538462,16.85384615,10.60769231,21.06153846,16.29230769,14.82307692
220.4876766,7.7,12.65384615,7.553846154,6.661538462,9.407692308,10.70769231,11.66923077,17.09230769,12.24615385,17.06153846,11.75384615
220.7058344,4.076923077,23.25384615,8.361538462,8.884615385,16.90769231,10.25384615,16.18461538,14.67692308,11.86153846,21.98461538,15.46153846
220.9239825,14.93076923,17.66923077,10.55384615,16,5.738461538,10.53846154,9.853846154,7.946153846,10.35384615,9.638461538,10.03846154
221.1421209,6.023076923,14.28461538,17.53846154,13.46923077,16.26923077,5.492307692,17.84615385,13.71538462,8.838461538,22.56923077,14.27692308
221.3602496,9.276923077,10.08461538,12.63076923,7.969230769,6.853846154,8.4,12.22307692,12.65384615,12.3,14.23076923,16.68461538
221.5783685,8.169230769,7.976923077,7.184615385,18.18461538,6.115384615,11.93846154,9.6,10.58461538,13.54615385,11.40769231,17.86153846
221.7964777,7.876923077,10.65384615,6.530769231,12.36923077,11.15384615,12.39230769,4.046153846,7.023076923,9.253846154,9.461538462,13.29230769
222.0145773,10.33076923,7.723076923,10.81538462,8.969230769,7.638461538,17.81538462,11.01538462,13.70769231,12.81538462,25.23076923,10.76153846
222.232667,8.253846154,11.82307692,6.261538462,16.7,10.36153846,5.569230769,16.26153846,8.369230769,8.738461538,8.023076923,8.507692308
222.4507471,16.64615385,16,11.85384615,13.92307692,17.30769231,11.54615385,14.18461538,23.20769231,11.40769231,11.55384615,17.86923077
222.6688174,11.82307692,7.476923077,14.62307692,11.99230769,6.292307692,10.16153846,18.56923077,13.08461538,11.4,12.93846154,8.707692308
222.886878,10.62307692,12.17692308,17.3,15.50769231,16.03076923,10.88461538,12.40769231,19.94615385,22.74615385,24.23076923,14.41538462
223.1049289,9.607692308,14.08461538,11.36153846,9.676923077,7.8,7.8,11.01538462,11.9,15.55384615,11.06153846,11.15384615
223.3229701,18.70769231,14.1,3.692307692,13.97692308,24.63076923,7.238461538,20.5,13.04615385,13.73076923,11.26153846,17.59230769
223.5410015,7.669230769,7.230769231,12.52307692,10.18461538,7.030769231,9.038461538,16.37692308,11.42307692,12.76153846,19.18461538,10.46153846
223.7590231,11.59230769,13.56923077,13.61538462,12.06153846,11.88461538,9.984615385,14.18461538,20.45384615,21.15384615,13.61538462,17.13076923
223.977035,4.223076923,11.74615385,12.3,8.269230769,4.430769231,8.884615385,14.81538462,13.60769231,11.82307692,10.36923077,12.93076923
224.1950372,11.43846154,6.307692308,12.07692308,10.88461538,20.02307692,8.723076923,10.14615385,21.09230769,11.72307692,16.86153846,15.01538462
224.4130296,8.123076923,17.16153846,19.53076923,11.1,4.307692308,10.49230769,15.05384615,7.323076923,14.6,13.66923077,14.94615385
224.6310123,6.230769231,9.546153846,11.93846154,19.15384615,12.94615385,15.03846154,14.07692308,12.07692308,12.04615385,12.85384615,18.55384615
224.8489852,7.469230769,11.91538462,5.861538462,12.89230769,8.376923077,16.96923077,13.17692308,18.5,7.730769231,19.80769231,17.76923077
225.0669484,11.76923077,11.01538462,16.16153846,19.89230769,17.26923077,13.62307692,12.32307692,19.70769231,17.13846154,11.67692308,14.17692308
225.2849018,15.01538462,12.4,7.269230769,9.607692308,11.50769231,7.361538462,11.77692308,12.06153846,11.52307692,11.75384615,10.73076923
225.5028454,16.56923077,13.8,21.32307692,10.9,9.930769231,6.661538462,14.77692308,12.40769231,20.06153846,11.28461538,14.84615385
225.7207793,8.584615385,10.47692308,8.8,12.76153846,5.576923077,8.569230769,15.46923077,8.461538462,4.8,17.66153846,19.49230769
225.9387034,10.21538462,15.44615385,13.58461538,9.476923077,15.36153846,15.11538462,13.53846154,21.01538462,9.453846154,5.9,14.12307692
226.1566178,5.976923077,14.99230769,13.8,10.36923077,6.046153846,5.161538462,8.915384615,14.52307692,7.707692308,13.36153846,9.161538462
226.3745224,15.02307692,16.33076923,20.05384615,13.55384615,10.41538462,8.230769231,27.52307692,28.50769231,15.74615385,19.58461538,13.09230769
226.5924172,4.361538462,10.46153846,8.538461538,10.12307692,6.592307692,10.8,14.46153846,8.992307692,12.67692308,24.31538462,12.76923077
226.8103022,11.32307692,15.87692308,17.68461538,12.08461538,7.592307692,9.569230769,9.861538462,16.96923077,13.83846154,9.207692308,14.36923077
227.0281775,12.63846154,10.02307692,19.16923077,5.930769231,14.01538462,5.915384615,9.938461538,11.93846154,8.715384615,4.276923077,14.23076923
227.2460429,14.27692308,13.19230769,7.423076923,13.4,14.7,19.19230769,9.469230769,20.1,12.43076923,12.25384615,12.83076923
227.4638986,15.2,15.44615385,9.561538462,6.146153846,4.553846154,12.20769231,19.13846154,18.55384615,16.35384615,7.692307692,13.43076923
227.6817445,13.35384615,10.42307692,20.24615385,14.61538462,8.415384615,12.37692308,17.13846154,21.71538462,11.83076923,21.76153846,16.97692308
