lambda,1,2,3,4,5,6,7,8,9,10
223.1049289,11.01538462,15.76923077,8.661538462,4.846153846,9.461538462,7.307692308,6.953846154,7.715384615,4.384615385,4.769230769
223.3229701,9.530769231,19.43076923,15.53076923,13.46923077,9.846153846,13.54615385,21.36923077,19.68461538,9.976923077,13.11538462
223.5410015,14.66153846,9.115384615,3.646153846,9.115384615,6.184615385,11.01538462,14.65384615,8.115384615,5.215384615,14.05384615
223.7590231,14.46153846,17.55384615,17.34615385,10.52307692,16.36153846,17.98461538,18.43076923,11.07692308,22.20769231,1.661538462
223.977035,4.115384615,9.776923077,14.1,7.715384615,9.215384615,4.969230769,8.776923077,7.153846154,5.084615385,9.138461538
224.1950372,13.00769231,9.538461538,11.2,9.315384615,29.36153846,18.01538462,22.08461538,21.18461538,15.16153846,16.34615385
224.4130296,3.653846154,13.17692308,6.984615385,8.153846154,15.03846154,18.82307692,6.646153846,9.315384615,16.23846154,12.13076923
224.6310123,12.26153846,9.792307692,9.684615385,13.23846154,18.42307692,14.60769231,8.461538462,16.58461538,13.95384615,10.63076923
224.8489852,7.407692308,14.31538462,18.73846154,17.38461538,8.661538462,7.030769231,9.7,10.04615385,9.569230769,7.1
225.0669484,25.16153846,11.67692308,16.92307692,9.430769231,16.28461538,9.261538462,17.28461538,14.61538462,11.59230769,9.392307692
225.2849018,9.615384615,7.923076923,17.40769231,12.91538462,13.03076923,9.038461538,15.86923077,18.1,15.33846154,6.176923077
225.5028454,7.353846154,14.08461538,16.26153846,6.761538462,20.74615385,8.630769231,11,16.04615385,18.79230769,15.29230769
225.7207793,12.05384615,8.576923077,5.892307692,14.81538462,7.076923077,9.215384615,19.36923077,10.19230769,7.730769231,6.053846154
225.9387034,15.88461538,21.06153846,16.43076923,7.815384615,14.82307692,14.98461538,14.37692308,21.33076923,8.169230769,15.8
226.1566178,8.815384615,18.39230769,14.24615385,3.492307692,7.546153846,7.007692308,9.507692308,10.99230769,10.26153846,11.51538462
226.3745224,16.33076923,16.34615385,16.96153846,10.64615385,15.62307692,18.81538462,12.33846154,14.22307692,26.43076923,15.3
226.5924172,8.461538462,8.184615385,13.56923077,9.769230769,8.446153846,6.730769231,16.23846154,8.784615385,10.43846154,12.9
226.8103022,10.66923077,11.97692308,10.85384615,14.62307692,11.61538462,21.09230769,15.77692308,10.56923077,15.21538462,6.353846154
227.0281775,12.12307692,14.77692308,6.4,9.407692308,19.60769231,13.91538462,10.88461538,9.523076923,5.538461538,8.907692308
