lambda,1,2,3,4,5,6,7,8,9,10,11
211.3163136,9.961538462,10.70769231,11.7,10.18461538,15.32307692,13.01538462,8.223076923,13.16153846,11.95384615,16.33076923,
211.534877,20.87692308,10.03846154,29.41538462,12.34615385,23.52307692,12.95384615,8.346153846,11.21538462,12.22307692,11.95384615,
211.7534308,5.953846154,21.50769231,12.61538462,11.18461538,12.34615385,10.50769231,14.16153846,11.66923077,19.28461538,14.74615385,
211.971975,21.91538462,9.384615385,18.40769231,16.16153846,18.92307692,9.084615385,14.02307692,15.74615385,18.99230769,18.71538462,
212.1905096,16.07692308,10.52307692,9.784615385,10.12307692,20.51538462,11.76153846,7.830769231,15.37692308,8.546153846,9.569230769,
212.4090345,29.38461538,10.29230769,12.26923077,16.48461538,13.57692308,9.169230769,10.83846154,15.09230769,14.31538462,11.99230769,
212.6275499,19.23846154,17.60769231,16.99230769,17.63846154,15.8,6.915384615,11.55384615,17.76923077,12.76153846,13.27692308,
212.8460556,21.50769231,9.953846154,20.13846154,15.03076923,23.76923077,7.338461538,13.39230769,12.70769231,17.23846154,9.569230769,
213.0645517,15.76923077,17.26923077,6.5,9.9,14.68461538,8.630769231,19.91538462,20.54615385,12.67692308,14.97692308,
213.2830381,18.48461538,18.24615385,13.86153846,10.85384615,7.276923077,8.530769231,18.4,22.38461538,20.42307692,21.65384615,
213.501515,14.59230769,8.846153846,7.530769231,16.16923077,16.9,13.36153846,11.16153846,11.18461538,4.276923077,9.238461538,
213.7199822,20.76153846,10.63846154,14.19230769,8.3,15.65384615,7.730769231,23.60769231,19.15384615,15.39230769,18.81538462,
213.9384398,12.5,11.02307692,8.169230769,20.03076923,10.66923077,9.3,17.97692308,19.56923077,14.52307692,4.361538462,
214.1568877,15.11538462,29.04615385,22.72307692,16.00769231,23.86153846,9.661538462,15.24615385,26.73076923,19.15384615,21.13076923,
214.3753261,14.79230769,16.40769231,10.7,12.21538462,10.50769231,3.407692308,17.26923077,10.76923077,16.3,12.21538462,
214.5937547,13.95384615,8.561538462,7.823076923,12.78461538,9.615384615,14.1,9.792307692,14.79230769,18.88461538,7.361538462,
214.8121738,9.661538462,12.50769231,14.23076923,9.961538462,9.730769231,19.19230769,8.046153846,16.77692308,11.69230769,16.35384615,
215.0305832,19.86923077,11.27692308,8.092307692,15.89230769,19.95384615,11.8,10.46923077,14.23076923,12.06153846,15.63076923,
215.2489829,17.2,13.72307692,9.969230769,15.92307692,14,6.707692308,9.423076923,4.076923077,17.88461538,11.36923077,
215.467373,14.22307692,15.24615385,14.00769231,13.38461538,16.11538462,6.523076923,19.54615385,19.74615385,15.07692308,26.35384615,
215.6857534,13.76153846,17.71538462,3.384615385,10.7,18.30769231,11.15384615,6.392307692,6.915384615,10.01538462,8.838461538,
215.9041242,19.80769231,22.34615385,23.53846154,15.56923077,14.56923077,23.26923077,21.77692308,11.10769231,10.09230769,15.68461538,
216.1224854,18.86153846,6.476923077,3.276923077,12.03076923,5.923076923,13.63846154,9.176923077,14.52307692,7.884615385,13.86153846,
216.3408368,22.33076923,18.10769231,20.35384615,17.01538462,7.607692308,5.661538462,12.31538462,9.323076923,21.18461538,12.68461538,
216.5591787,7.084615385,18.46153846,8.615384615,10.86153846,15.46923077,16.87692308,7.646153846,12.00769231,12.19230769,7.476923077,
216.7775108,12.98461538,11.93846154,7.892307692,15.46923077,16.46153846,13.70769231,10.28461538,17.46153846,10.93076923,12.55384615,
216.9958333,19.76923077,18.10769231,7.292307692,14.56923077,8.730769231,16.9,11.92307692,12.34615385,13.5,12.74615385,
217.2141461,17.80769231,24.78461538,14.46153846,16.15384615,8.015384615,13.08461538,21.11538462,13.84615385,14.85384615,18.18461538,
217.4324493,8.7,12.9,10.46153846,12.59230769,9.269230769,5.376923077,15.31538462,11.53076923,17.85384615,14.25384615,
217.6507427,15.73076923,7.807692308,12.15384615,16.93076923,15.32307692,11.76153846,11.3,18.76923077,15.45384615,13.41538462,
217.8690265,6.369230769,12.86923077,13.63846154,11.97692308,3.9,6.615384615,11.03846154,10.25384615,10.14615385,16.81538462,
218.0873007,18.32307692,14.46153846,12.71538462,10.10769231,11.67692308,12.11538462,16.23846154,12.83846154,5.238461538,20.93076923,
218.3055651,9.761538462,13.64615385,10.77692308,12.88461538,7.346153846,10.16923077,6.207692308,7.461538462,12.13846154,17.44615385,
218.5238199,16.33076923,13.53846154,29.16923077,20.94615385,13.06153846,15.16153846,17.98461538,13.76153846,18.77692308,20.23076923,
218.7420649,13.5,23.64615385,10.15384615,14.63076923,15.17692308,17.59230769,4.038461538,6.730769231,10.79230769,10.04615385,
218.9603003,18.50769231,20.41538462,18.17692308,11.70769231,27.7,10.92307692,13.47692308,8.061538462,15.81538462,18.66923077,
219.178526,3.976923077,8.869230769,10.22307692,10.47692308,7.807692308,9.038461538,8.030769231,10.20769231,9.084615385,14.25384615,
219.396742,14.70769231,16.64615385,11.37692308,16.86923077,13.13846154,12.75384615,17.83846154,14.63076923,11.57692308,26.03076923,
219.6149484,13.73076923,13.67692308,14.11538462,18.50769231,13.61538462,12.20769231,18.51538462,16.48461538,22.66153846,14.75384615,
219.833145,15.96923077,15.51538462,7.615384615,20.15384615,21.03076923,17.20769231,15.01538462,16.32307692,15.65384615,12.7,
220.0513319,17.76153846,20.67692308,18.33846154,7.215384615,15.22307692,7.461538462,8.276923077,8.330769231,5.676923077,13.73846154,
220.2695091,15.14615385,11.50769231,12.73076923,8.769230769,14.99230769,14.38461538,16.83846154,14.21538462,15.59230769,11.6,
220.4876766,13.93846154,21.52307692,13.93076923,6.230769231,17.37692308,11.73076923,23.11538462,14.75384615,4.830769231,10.88461538,
220.7058344,16.68461538,12.41538462,12.47692308,9.130769231,11.46923077,21.64615385,22.31538462,21.55384615,14.92307692,12.93076923,
220.9239825,15.33076923,14.65384615,5.807692308,14.8,14.36153846,14.92307692,11.14615385,10.11538462,9.307692308,13.81538462,
221.1421209,19.71538462,16.94615385,17.14615385,23.17692308,20.5,12.53846154,10.64615385,8.415384615,15.75384615,22.33076923,
221.3602496,13.16153846,13.37692308,10.01538462,11.56153846,13.83076923,10.07692308,10.32307692,3.976923077,15.4,9.138461538,
221.5783685,20.76153846,14.1,14.32307692,26.36923077,19.5,7.269230769,16.07692308,18.35384615,17.32307692,10.07692308,
221.7964777,18.89230769,20.78461538,12.96923077,11.63076923,17.99230769,11.4,7.092307692,23.7,8.115384615,11.10769231,
222.0145773,19.38461538,17.95384615,13.36923077,24.75384615,17.96153846,14.56153846,13.38461538,14.27692308,15.43846154,16.11538462,
