Distance_(cm),Gray_Value
2.3262,63.909
2.3328,61.319
2.3394,59.173
2.3460,57.930
2.3526,54.195
2.3592,49.476
2.3658,50.776
2.3724,52.778
2.3790,55.448
2.3855,57.902
2.3921,60.058
2.3987,62.130
2.4053,66.822
2.4119,80.603
2.4185,80.693
2.4251,82.603
2.4317,83.215
2.4383,80.771
2.4448,75.831
2.4514,72.137
2.4580,72.034
2.4646,57.444
2.4712,51.560
2.4778,46.633
2.4844,42.258
2.4910,39.980
2.4976,41.997
2.5042,45.889
2.5107,49.197
2.5173,45.918
2.5239,55.919
2.5305,82.957
2.5371,112.994
2.5437,135.787
2.5503,146.650
2.5569,147.629
2.5635,143.433
2.5701,142.355
2.5766,141.094
2.5832,129.942
2.5898,110.924
2.5964,90.237
2.6030,69.257
2.6096,47.736
2.6162,33.433
2.6228,28.939
2.6294,50.912
2.6360,55.982
2.6425,55.759
2.6491,59.081
2.6557,66.265
2.6623,77.454
2.6689,89.291
2.6755,98.573
2.6821,122.452
2.6887,132.705
2.6953,134.597
2.7019,133.649
2.7084,127.810
2.7150,116.481
2.7216,106.096
2.7282,99.448
2.7348,81.140
2.7414,64.682
2.7480,58.520
2.7546,50.249
2.7612,43.549
2.7678,41.484
2.7743,44.456
2.7809,49.683
2.7875,56.001
2.7941,62.025
2.8007,64.245
2.8073,69.476
2.8139,76.814
2.8205,85.806
2.8271,98.879
2.8337,117.846
2.8402,136.454
2.8468,112.542
2.8534,102.623
2.8600,86.178
2.8666,68.429
2.8732,56.663
2.8798,50.648
2.8864,48.655
2.8930,48.058
2.8996,49.358
2.9061,49.237
2.9127,48.283
2.9193,47.330
2.9259,48.042
2.9325,50.604
2.9391,53.939
2.9457,57.491
2.9523,60.551
2.9589,63.159
2.9655,63.879
2.9720,63.621
2.9786,63.291
2.9852,62.507
2.9918,62.044
2.9984,61.726
3.0050,58.931
3.0116,48.151
3.0182,47.283
3.0248,46.882
3.0313,46.576
3.0379,46.966
3.0445,47.034
3.0511,46.881
3.0577,47.003
3.0643,48.846
3.0709,49.000
3.0775,49.000
3.0841,49.000
3.0907,49.000
3.0972,49.000
3.1038,49.000
3.1104,49.000
3.1170,49.000
3.1236,49.000
3.1302,49.000
3.1368,49.000
3.1434,49.000
3.1500,49.000
3.1566,49.000
3.1631,49.000
3.1697,47.922
3.1763,46.333
3.1829,46.673
3.1895,47.333
3.1961,47.608
3.2027,48.333
3.2093,48.683
3.2159,50.000
3.2225,50.556
3.2290,54.115
3.2356,54.475
3.2422,57.555
3.2488,61.313
3.2554,66.785
3.2620,73.452
3.2686,75.539
3.2752,77.249
3.2818,68.805
3.2884,67.137
3.2949,65.591
3.3015,62.275
3.3081,59.347
3.3147,56.399
3.3213,53.454
3.3279,52.623
3.3345,53.882
3.3411,47.435
3.3477,43.357
3.3543,51.155
3.3608,58.884
3.3674,59.699
3.3740,70.280
3.3806,100.738
3.3872,135.541
3.3938,156.024
3.4004,154.662
3.4070,148.392
3.4136,138.106
3.4202,125.481
3.4267,111.324
3.4333,100.834
3.4399,94.183
3.4465,67.176
3.4531,61.188
3.4597,50.250
3.4663,42.649
3.4729,38.891
3.4795,41.573
3.4861,49.653
3.4926,57.306
3.4992,102.048
3.5058,135.239
3.5124,169.484
3.5190,186.583
3.5256,182.146
3.5322,170.098
3.5388,168.193
3.5454,177.865
3.5520,182.996
3.5585,172.160
3.5651,158.179
3.5717,143.089
3.5783,118.321
3.5849,90.257
3.5915,68.004
3.5981,55.440
3.6047,45.833
3.6113,30.982
3.6179,28.291
3.6244,41.063
3.6310,80.655
3.6376,131.813
3.6442,165.098
3.6508,167.524
3.6574,161.099
3.6640,157.861
3.6706,161.668
3.6772,167.208
3.6837,187.122
3.6903,197.093
3.6969,183.947
3.7035,157.003
3.7101,144.072
3.7167,120.857
3.7233,108.848
3.7299,91.059
3.7365,67.887
3.7431,50.537
3.7496,42.608
3.7562,44.337
3.7628,50.044
3.7694,67.383
3.7760,91.188
3.7826,115.223
3.7892,151.614
3.7958,183.089
3.8024,195.230
3.8090,192.385
3.8155,180.460
3.8221,169.370
3.8287,164.863
3.8353,161.133
3.8419,145.684
3.8485,123.729
3.8551,99.758
3.8617,77.000
3.8683,68.181
3.8749,55.620
3.8814,44.075
3.8880,41.258
3.8946,43.347
3.9012,46.243
3.9078,52.606
3.9144,63.386
3.9210,76.494
3.9276,89.108
3.9342,95.818
3.9408,99.288
3.9473,103.526
3.9539,107.115
3.9605,109.505
3.9671,110.647
3.9737,111.120
3.9803,111.720
3.9869,106.338
3.9935,92.679
4.0001,79.714
4.0067,62.263
4.0132,46.385
4.0198,37.845
4.0264,38.415
4.0330,43.979
4.0396,49.083
4.0462,49.759
4.0528,50.667
4.0594,50.721
4.0660,52.656
4.0726,53.951
4.0791,56.246
4.0857,59.026
4.0923,61.431
4.0989,60.986
4.1055,60.667
4.1121,59.899
4.1187,59.667
4.1253,58.964
4.1319,58.667
4.1385,58.028
4.1450,57.667
4.1516,56.964
4.1582,54.511
4.1648,50.870
4.1714,47.184
4.1780,45.304
4.1846,44.382
4.1912,45.376
4.1978,47.845
4.2044,48.763
4.2109,55.917
4.2175,88.754
4.2241,135.996
4.2307,173.887
4.2373,185.189
4.2439,179.577
4.2505,175.381
4.2571,174.924
4.2637,169.397
4.2702,166.821
4.2768,164.133
4.2834,143.725
4.2900,117.293
4.2966,91.963
4.3032,67.605
4.3098,47.513
4.3164,58.936
4.3230,76.507
4.3296,120.655
4.3361,162.684
4.3427,173.019
4.3493,171.247
4.3559,171.273
4.3625,161.780
4.3691,155.981
4.3757,158.260
4.3823,159.062
4.3889,159.009
4.3955,158.949
4.4020,158.204
4.4086,156.515
4.4152,152.838
4.4218,148.816
4.4284,144.271
4.4350,133.700
4.4416,119.359
4.4482,110.727
4.4548,112.164
4.4614,122.948
4.4679,136.796
4.4745,147.140
4.4811,149.406
4.4877,146.504
4.4943,141.771
4.5009,141.226
4.5075,145.690
4.5141,154.167
4.5207,160.349
4.5273,163.868
4.5338,166.279
4.5404,163.076
4.5470,154.594
4.5536,145.409
4.5602,137.567
4.5668,132.473
4.5734,129.806
4.5800,127.942
4.5866,127.090
4.5932,127.386
4.5997,126.444
4.6063,126.836
4.6129,130.759
4.6195,138.902
4.6261,150.011
4.6327,162.184
4.6393,169.268
4.6459,163.765
4.6525,160.899
4.6591,154.716
4.6656,149.364
4.6722,147.193
4.6788,146.410
4.6854,149.272
4.6920,149.860
4.6986,135.155
4.7052,134.977
4.7118,133.419
4.7184,128.002
4.7250,121.534
4.7315,118.831
4.7381,120.355
4.7447,123.692
4.7513,128.182
4.7579,139.572
4.7645,173.116
4.7711,200.833
4.7777,195.371
4.7843,178.606
4.7909,181.608
4.7974,191.523
4.8040,181.077
4.8106,163.740
4.8172,172.452
4.8238,182.277
4.8304,184.393
4.8370,176.721
4.8436,161.736
4.8502,141.489
4.8567,126.264
4.8633,123.033
4.8699,122.145
4.8765,122.576
4.8831,124.521
4.8897,129.677
4.8963,134.737
4.9029,139.696
4.9095,144.750
4.9161,144.298
4.9226,144.194
4.9292,148.464
4.9358,175.362
4.9424,202.831
4.9490,207.323
4.9556,197.706
4.9622,189.826
4.9688,176.017
4.9754,165.985
4.9820,159.442
4.9885,149.629
4.9951,138.839
5.0017,129.577
5.0083,122.704
5.0149,119.512
5.0215,122.997
5.0281,134.014
5.0347,140.557
5.0413,148.163
5.0479,157.389
5.0544,166.383
5.0610,169.266
5.0676,167.585
5.0742,163.732
5.0808,175.450
5.0874,180.511
5.0940,184.310
5.1006,187.156
5.1072,185.960
5.1138,183.243
5.1203,172.361
5.1269,158.712
5.1335,139.084
5.1401,130.638
5.1467,125.090
5.1533,122.117
5.1599,121.429
5.1665,124.280
5.1731,130.841
5.1797,137.309
5.1862,150.924
5.1928,164.904
5.1994,171.359
5.2060,180.114
5.2126,192.413
5.2192,205.580
5.2258,213.492
5.2324,214.968
5.2390,208.684
5.2456,192.121
5.2521,181.623
5.2587,166.106
5.2653,150.755
5.2719,138.506
5.2785,130.237
5.2851,123.615
5.2917,118.367
5.2983,124.934
5.3049,125.923
5.3115,127.298
5.3180,131.044
5.3246,140.944
5.3312,165.677
5.3378,197.496
5.3444,216.495
5.3510,216.639
5.3576,206.251
5.3642,193.570
5.3708,182.971
5.3774,178.347
5.3839,176.933
5.3905,171.586
5.3971,163.425
5.4037,152.191
5.4103,139.925
5.4169,134.826
5.4235,129.826
5.4301,126.285
5.4367,124.278
5.4432,124.556
5.4498,126.118
5.4564,130.283
5.4630,142.221
5.4696,161.255
5.4762,176.809
5.4828,175.975
5.4894,166.147
5.4960,163.164
5.5026,172.440
5.5091,180.798
5.5157,175.611
5.5223,172.493
5.5289,168.209
5.5355,161.254
5.5421,151.005
5.5487,140.403
5.5553,135.007
5.5619,136.153
5.5685,128.809
5.5750,124.124
5.5816,125.361
5.5882,128.590
5.5948,132.927
5.6014,137.344
5.6080,141.721
5.6146,145.952
5.6212,153.765
5.6278,164.608
5.6344,166.087
5.6409,165.893
5.6475,165.185
5.6541,164.757
5.6607,164.192
5.6673,164.411
5.6739,162.196
5.6805,157.881
5.6871,152.023
5.6937,143.862
5.7003,135.009
5.7068,128.153
5.7134,125.273
5.7200,125.741
5.7266,127.716
5.7332,122.735
5.7398,129.024
5.7464,143.043
5.7530,155.887
5.7596,164.054
5.7662,163.126
5.7727,156.358
5.7793,151.905
5.7859,157.286
5.7925,161.833
5.7991,162.023
5.8057,160.762
5.8123,158.055
5.8189,154.885
5.8255,151.652
5.8321,148.375
5.8386,147.018
5.8452,148.596
5.8518,146.849
5.8584,141.184
5.8650,131.856
5.8716,126.158
5.8782,131.626
5.8848,146.901
5.8914,163.756
5.8980,176.468
5.9045,178.635
5.9111,178.575
5.9177,175.619
5.9243,169.623
5.9309,163.172
5.9375,156.444
5.9441,152.390
5.9507,150.948
5.9573,161.514
5.9639,173.839
5.9704,173.573
5.9770,144.686
5.9836,95.147
5.9902,58.049
5.9968,41.304
6.0034,44.222
6.0100,52.050
6.0166,53.795
6.0232,56.461
6.0298,60.331
6.0363,63.901
6.0429,66.714
6.0495,68.902
6.0561,69.464
6.0627,68.667
6.0693,68.390
6.0759,66.349
6.0825,63.520
6.0891,61.585
6.0956,59.650
6.1022,57.714
6.1088,56.682
6.1154,54.719
6.1220,54.348
6.1286,54.333
6.1352,54.054
6.1418,54.000
6.1484,54.000
6.1550,53.948
6.1615,53.570
6.1681,49.647
6.1747,45.787
6.1813,51.711
6.1879,60.526
6.1945,66.982
6.2011,77.020
6.2077,94.529
6.2143,114.801
6.2209,137.986
6.2274,155.883
6.2340,157.408
6.2406,156.028
6.2472,153.810
6.2538,151.611
6.2604,148.922
6.2670,146.178
6.2736,135.944
6.2802,84.920
6.2868,74.842
6.2933,58.951
6.2999,45.643
6.3065,41.113
6.3131,46.184
6.3197,58.121
6.3263,68.829
6.3329,155.617
6.3395,186.301
6.3461,184.293
6.3527,178.246
6.3592,184.053
6.3658,183.052
6.3724,174.215
6.3790,175.284
6.3856,173.947
6.3922,168.850
6.3988,163.280
6.4054,161.936
6.4120,163.363
6.4186,154.469
6.4251,132.994
6.4317,105.424
6.4383,92.441
6.4449,93.390
6.4515,96.908
