Distance_(cm),Gray_Value
2.3739,95.000
2.3806,95.000
2.3874,95.000
2.3941,95.000
2.4008,95.000
2.4075,95.000
2.4143,94.568
2.4210,94.000
2.4277,94.000
2.4344,94.000
2.4412,94.000
2.4479,94.000
2.4546,94.000
2.4613,94.000
2.4681,93.750
2.4748,93.701
2.4815,94.333
2.4882,94.687
2.4950,95.333
2.5017,95.673
2.5084,96.333
2.5151,96.658
2.5219,97.530
2.5286,98.072
2.5353,98.234
2.5420,98.630
2.5488,99.333
2.5555,99.616
2.5622,100.333
2.5689,100.601
2.5757,101.706
2.5824,102.818
2.5891,103.533
2.5958,104.484
2.6026,105.684
2.6093,107.225
2.6160,108.073
2.6227,108.333
2.6295,108.469
2.6362,109.000
2.6429,109.252
2.6496,110.880
2.6564,113.683
2.6631,115.708
2.6698,117.787
2.6765,119.972
2.6833,120.605
2.6900,118.569
2.6967,119.607
2.7034,120.282
2.7102,122.321
2.7169,123.522
2.7236,124.796
2.7303,125.671
2.7371,126.150
2.7438,125.880
2.7505,125.998
2.7572,126.117
2.7640,126.236
2.7707,126.341
2.7774,126.380
2.7841,126.430
2.7909,126.755
2.7976,129.650
2.8043,129.284
2.8110,129.392
2.8178,128.522
2.8245,128.641
2.8312,127.677
2.8379,127.459
2.8447,127.336
2.8514,125.282
2.8581,124.137
2.8648,123.026
2.8716,121.853
2.8783,120.487
2.8850,119.327
2.8917,118.136
2.8985,117.118
2.9052,124.766
2.9119,125.319
2.9186,124.876
2.9254,124.399
2.9321,122.890
2.9388,122.116
2.9455,121.364
2.9523,121.469
2.9590,121.707
2.9657,121.099
2.9724,121.183
2.9792,120.590
2.9859,120.659
2.9926,120.080
2.9993,120.068
3.0061,119.266
3.0128,117.156
3.0195,116.172
3.0262,116.268
3.0330,115.772
3.0397,115.224
3.0464,115.125
3.0531,114.576
3.0599,114.333
3.0666,112.856
3.0733,112.058
3.0800,111.472
3.0868,110.176
3.0935,108.701
3.1002,107.630
3.1069,106.638
3.1137,106.271
3.1204,106.948
3.1271,106.659
3.1338,106.333
3.1406,105.673
3.1473,105.333
3.1540,104.688
3.1607,104.333
3.1675,103.702
3.1742,101.461
3.1809,100.333
3.1876,100.333
3.1944,99.731
3.2011,98.738
3.2078,98.333
3.2145,97.752
3.2213,97.333
3.2280,96.766
3.2347,96.147
3.2414,96.000
3.2482,96.000
3.2549,96.000
3.2616,96.000
3.2683,96.000
3.2751,96.000
3.2818,96.000
3.2885,96.000
3.2952,96.000
3.3020,96.000
3.3087,96.000
3.3154,96.000
3.3221,96.000
3.3289,96.000
3.3356,97.056
3.3423,98.333
3.3490,98.333
3.3558,98.333
3.3625,98.616
3.3692,99.000
3.3759,98.727
3.3827,98.333
3.3894,97.938
3.3961,97.333
3.4028,97.587
3.4096,98.000
3.4163,98.367
3.4230,99.360
3.4297,100.000
3.4365,100.115
3.4432,107.484
3.4499,121.711
3.4566,122.268
3.4634,123.770
3.4701,125.971
3.4768,129.090
3.4835,132.166
3.4903,135.302
3.4970,134.913
3.5037,127.825
3.5104,129.111
3.5172,129.489
3.5239,130.239
3.5306,130.445
3.5373,131.586
3.5441,132.000
3.5508,133.384
3.5575,134.308
3.5642,136.316
3.5710,139.499
3.5777,143.130
3.5844,146.718
3.5911,150.433
3.5979,152.881
3.6046,154.463
3.6113,155.118
3.6180,155.915
3.6248,157.372
3.6315,158.205
3.6382,159.330
3.6449,160.518
3.6517,161.159
3.6584,161.508
3.6651,156.860
3.6718,157.251
3.6786,157.341
