Distance_(cm),Gray_Value
0.00000,56.333
0.00666,58.322
0.01332,58.333
0.01997,58.333
0.02663,58.333
0.03329,58.333
0.03995,58.333
0.04660,58.333
0.05326,58.333
0.05992,56.432
0.06658,56.333
0.07323,56.333
0.07989,56.333
0.08655,56.333
0.09321,56.333
0.09986,56.333
0.10652,56.333
0.11318,58.147
0.11984,58.333
0.12649,58.333
0.13315,58.333
0.13981,58.333
0.14647,58.333
0.15313,58.333
0.15978,58.333
0.16644,59.196
0.17310,59.333
0.17976,59.333
0.18641,59.333
0.19307,59.333
0.19973,59.333
0.20639,59.333
0.21304,59.333
0.21970,59.333
0.22636,59.333
0.23302,59.333
0.23967,59.333
0.24633,59.333
0.25299,59.333
0.25965,59.333
0.26630,59.333
0.27296,59.333
0.27962,59.333
0.28628,59.333
0.29293,59.333
0.29959,59.333
0.30625,59.333
0.31291,59.333
0.31957,59.333
0.32622,60.320
0.33288,60.466
0.33954,60.249
0.34620,60.031
0.35285,59.814
0.35951,59.597
0.36617,59.379
0.37283,59.333
0.37948,60.020
0.38614,60.106
0.39280,60.000
0.39946,60.000
0.40611,60.000
0.41277,60.000
0.41943,60.000
0.42609,60.000
0.43274,59.357
0.43940,59.000
0.44606,59.000
0.45272,59.000
0.45938,59.000
0.46603,59.000
0.47269,59.000
0.47935,59.000
0.48601,59.200
0.49266,59.333
0.49932,59.333
0.50598,59.333
0.51264,59.333
0.51929,59.333
0.52595,59.333
0.53261,59.333
0.53927,59.333
0.54592,59.333
0.55258,59.333
0.55924,59.333
0.56590,59.333
0.57255,59.333
0.57921,59.333
0.58587,59.333
0.59253,59.669
0.59919,59.772
0.60584,59.555
0.61250,59.338
0.61916,59.227
0.62582,59.118
0.63247,59.010
0.63913,58.901
0.64579,59.980
0.65245,61.333
0.65910,61.790
0.66576,62.333
0.67242,62.779
0.67908,63.333
0.68573,63.768
0.69239,64.333
0.69905,64.757
0.70571,65.333
0.71236,65.333
0.71902,65.333
0.72568,65.333
0.73234,65.333
0.73899,65.333
0.74565,65.333
0.75231,65.713
0.75897,66.333
0.76563,66.333
0.77228,66.333
0.77894,66.333
0.78560,66.333
0.79226,66.333
0.79891,66.247
0.80557,66.573
0.81223,67.273
0.81889,66.579
0.82554,65.689
0.83220,64.771
0.83886,64.167
0.84552,63.888
0.85217,64.063
0.85883,64.382
0.86549,64.830
0.87215,64.072
0.87880,63.883
0.88546,62.927
0.89212,62.429
0.89878,61.855
0.90544,61.294
0.91209,60.451
0.91875,58.333
0.92541,58.333
0.93207,58.333
0.93872,58.333
0.94538,58.333
0.95204,58.333
0.95870,58.333
0.96535,58.538
0.97201,59.333
0.97867,59.333
0.98533,59.333
0.99198,59.333
0.99864,59.333
1.00530,59.333
1.01196,59.333
1.01861,59.333
1.02527,59.282
1.03193,59.000
1.03859,59.000
1.04525,59.000
1.05190,59.000
1.05856,59.000
1.06522,59.000
1.07188,59.233
1.07853,61.000
1.08519,61.105
1.09185,62.000
1.09851,62.094
1.10516,63.000
1.11182,63.083
1.11848,64.026
1.12514,64.625
1.13179,68.474
1.13845,68.619
1.14511,69.400
1.15177,69.851
1.15842,70.909
1.16508,71.057
1.17174,72.126
1.17840,72.200
1.18506,71.000
1.19171,71.000
1.19837,71.000
1.20503,71.000
1.21169,71.000
1.21834,71.000
1.22500,71.000
1.23166,71.000
1.23832,69.368
1.24497,69.333
1.25163,68.365
1.25829,68.333
1.26495,67.057
1.27160,67.000
1.27826,66.054
1.28492,66.000
1.29158,67.050
1.29823,67.191
1.30489,67.023
1.31155,67.000
1.31821,66.528
1.32486,66.374
1.33152,65.302
1.33818,64.981
1.34484,66.249
1.35150,65.447
1.35815,65.185
1.36481,63.549
1.37147,62.464
1.37813,61.469
1.38478,60.475
1.39144,59.726
1.39810,63.598
1.40476,64.333
1.41141,64.295
1.41807,64.186
1.42473,64.078
1.43139,63.969
1.43804,63.860
1.44470,63.752
1.45136,60.984
1.45802,60.333
1.46467,60.333
1.47133,61.120
1.47799,62.115
1.48465,62.333
1.49131,63.104
1.49796,63.333
1.50462,67.466
1.51128,68.665
1.51794,69.305
1.52459,70.191
1.53125,71.076
1.53791,71.962
1.54457,72.848
1.55122,73.503
1.55788,73.578
1.56454,74.621
1.57120,75.000
1.57785,76.398
1.58451,77.694
1.59117,78.688
1.59783,79.683
1.60448,80.000
1.61114,85.645
1.61780,88.580
1.62446,89.234
1.63111,90.073
1.63777,90.200
1.64443,90.627
1.65109,90.765
1.65775,90.467
1.66440,89.538
1.67106,88.826
1.67772,88.771
1.68438,88.377
1.69103,87.840
1.69769,87.538
1.70435,87.116
1.71101,86.863
1.71766,87.414
1.72432,87.186
1.73098,85.117
1.73764,82.568
1.74429,79.527
1.75095,76.061
1.75761,73.278
1.76427,71.352
1.77092,70.326
1.77758,69.792
1.78424,68.804
1.79090,67.810
1.79756,66.815
1.80421,65.590
1.81087,64.551
1.81753,63.832
1.82419,63.222
1.83084,63.162
1.83750,63.320
1.84416,63.333
1.85082,63.300
1.85747,63.121
1.86413,63.088
1.87079,63.084
1.87745,62.149
1.88410,61.082
1.89076,61.614
1.89742,62.333
1.90408,62.764
1.91073,63.333
1.91739,63.753
1.92405,64.333
1.93071,70.136
1.93737,79.022
1.94402,79.888
1.95068,81.310
1.95734,83.114
1.96400,85.106
1.97065,86.209
1.97731,86.696
1.98397,86.692
1.99063,88.978
1.99728,94.152
2.00394,100.591
2.01060,105.710
2.01726,107.481
2.02391,106.620
2.03057,103.684
2.03723,103.998
2.04389,108.524
2.05054,109.304
2.05720,110.677
2.06386,112.481
2.07052,113.695
2.07717,115.671
2.08383,117.150
2.09049,120.594
2.09715,126.458
2.10381,126.825
2.11046,126.276
2.11712,125.778
2.12378,125.472
2.13044,125.187
2.13709,125.281
2.14375,124.624
2.15041,121.130
2.15707,119.356
2.16372,116.605
2.17038,112.808
2.17704,109.607
2.18370,106.319
2.19035,104.506
2.19701,103.877
2.20367,109.187
2.21033,106.025
2.21698,100.652
2.22364,93.147
2.23030,84.949
2.23696,77.936
2.24362,72.449
2.25027,69.333
2.25693,69.326
2.26359,69.185
2.27025,68.433
2.27690,67.873
2.28356,67.261
2.29022,66.664
2.29688,67.334
2.30353,67.205
2.31019,70.074
2.31685,68.568
2.32351,67.112
2.33016,66.410
2.33682,67.326
2.34348,69.254
2.35014,71.698
2.35679,73.955
2.36345,75.041
2.37011,76.219
2.37677,80.033
2.38343,89.059
2.39008,102.259
2.39674,119.974
2.40340,135.893
2.41006,145.663
2.41671,145.117
2.42337,149.616
2.43003,154.524
2.43669,160.836
2.44334,165.851
2.45000,171.507
2.45666,172.667
2.46332,173.344
2.46997,172.625
2.47663,171.880
2.48329,171.279
2.48995,170.393
2.49660,169.464
2.50326,169.206
2.50992,169.284
2.51658,170.102
2.52324,174.474
2.52989,174.082
2.53655,172.768
2.54321,170.747
2.54987,167.977
2.55652,164.716
2.56318,161.650
2.56984,160.502
2.57650,169.899
2.58315,169.214
2.58981,167.522
2.59647,165.780
2.60313,163.488
2.60978,161.171
2.61644,160.511
2.62310,158.590
2.62976,167.192
2.63641,169.833
2.64307,173.330
2.64973,175.503
2.65639,174.961
2.66304,168.285
2.66970,159.414
2.67636,152.296
2.68302,127.839
2.68968,115.873
2.69633,106.737
2.70299,97.250
2.70965,89.867
2.71631,86.515
2.72296,86.139
2.72962,86.889
2.73628,77.555
2.74294,73.492
2.74959,72.731
2.75625,72.834
2.76291,75.514
2.76957,80.514
2.77622,85.394
2.78288,89.394
2.78954,99.979
2.79620,100.834
2.80285,94.778
2.80951,101.131
2.81617,126.673
2.82283,163.716
2.82949,190.817
2.83614,200.446
2.84280,171.375
2.84946,153.935
2.85612,154.186
2.86277,159.083
2.86943,163.754
2.87609,163.370
2.88275,157.381
2.88940,149.202
2.89606,144.098
2.90272,142.645
2.90938,142.147
2.91603,144.775
2.92269,147.527
2.92935,144.388
2.93601,133.448
2.94266,120.576
2.94932,127.998
2.95598,143.382
2.96264,155.447
2.96930,162.320
2.97595,158.866
2.98261,149.613
2.98927,140.377
2.99593,134.936
3.00258,126.300
3.00924,122.917
3.01590,129.752
3.02256,136.484
3.02921,139.521
3.03587,138.618
3.04253,134.213
3.04919,129.302
3.05584,130.037
3.06250,136.166
3.06916,145.972
3.07582,157.536
3.08247,167.232
3.08913,170.918
3.09579,169.515
3.10245,166.008
3.10910,164.589
3.11576,165.738
3.12242,166.735
3.12908,170.462
3.13574,176.305
3.14239,182.154
3.14905,186.433
3.15571,188.568
3.16237,188.631
3.16902,186.407
3.17568,184.092
3.18234,180.757
3.18900,175.017
3.19565,166.721
3.20231,156.648
3.20897,147.896
3.21563,137.837
3.22228,124.980
3.22894,123.339
3.23560,122.073
3.24226,121.013
3.24891,121.215
3.25557,124.153
3.26223,125.677
3.26889,132.209
3.27555,140.766
3.28220,138.269
3.28886,152.620
3.29552,182.963
3.30218,203.141
3.30883,198.482
3.31549,171.301
3.32215,148.282
3.32881,141.951
3.33546,142.490
3.34212,141.482
3.34878,141.128
3.35544,139.817
3.36209,138.808
3.36875,137.212
3.37541,137.129
3.38207,139.207
3.38872,134.151
3.39538,128.798
3.40204,125.610
3.40870,125.140
3.41535,127.596
3.42201,130.950
3.42867,132.430
3.43533,125.527
3.44199,130.637
3.44864,134.261
3.45530,132.740
3.46196,129.954
3.46862,132.522
3.47527,140.052
3.48193,146.984
3.48859,146.659
3.49525,142.518
3.50190,137.138
3.50856,133.704
3.51522,133.793
3.52188,137.451
3.52853,140.570
3.53519,143.411
3.54185,146.116
3.54851,146.660
3.55516,147.685
3.56182,147.520
3.56848,146.803
3.57514,143.815
3.58180,141.324
3.58845,139.212
3.59511,154.436
3.60177,148.560
3.60843,139.043
3.61508,126.733
3.62174,112.165
3.62840,99.364
3.63506,89.650
3.64171,83.900
3.64837,81.024
3.65503,76.506
3.66169,72.409
3.66834,68.628
3.67500,69.628
3.68166,71.883
3.68832,75.835
3.69497,79.498
3.70163,94.125
3.70829,96.060
3.71495,97.451
3.72161,99.525
3.72826,103.064
3.73492,106.053
3.74158,110.401
3.74824,116.051
3.75489,139.459
3.76155,150.414
3.76821,161.976
3.77487,171.902
3.78152,178.331
3.78818,181.265
3.79484,182.660
3.80150,182.431
3.80815,178.898
3.81481,177.687
3.82147,175.986
3.82813,173.439
3.83478,170.870
3.84144,168.188
3.84810,166.450
3.85476,165.403
3.86142,170.242
3.86807,170.755
3.87473,170.180
3.88139,168.975
3.88805,167.965
3.89470,166.387
3.90136,165.982
3.90802,165.372
3.91468,165.756
3.92133,167.122
3.92799,168.240
3.93465,169.134
3.94131,169.084
3.94796,167.711
3.95462,165.382
3.96128,163.571
3.96794,163.617
3.97459,158.321
3.98125,145.879
3.98791,129.825
3.99457,114.935
4.00122,103.450
4.00788,96.390
4.01454,93.529
4.02120,92.784
4.02786,92.471
4.03451,91.439
4.04117,89.629
4.04783,87.719
4.05449,85.198
4.06114,83.748
4.06780,82.799
4.07446,79.262
4.08112,77.276
4.08777,77.567
4.09443,77.209
4.10109,76.529
4.10775,76.384
4.11440,75.884
4.12106,75.601
4.12772,78.098
4.13438,79.819
4.14103,80.513
4.14769,81.036
4.15435,81.720
4.16101,82.253
4.16767,82.727
4.17432,83.206
4.18098,85.359
4.18764,88.064
4.19430,91.263
4.20095,95.689
4.20761,100.628
4.21427,105.939
4.22093,110.566
4.22758,113.406
4.23424,120.179
4.24090,125.219
4.24756,125.778
4.25421,127.103
4.26087,128.907
4.26753,131.172
4.27419,133.325
4.28084,134.737
4.28750,136.597
4.29416,137.803
4.30082,138.433
4.30748,139.426
4.31413,140.282
4.32079,140.860
4.32745,141.674
4.33411,142.085
4.34076,143.392
4.34742,145.889
4.35408,147.428
4.36074,147.791
4.36739,144.735
4.37405,138.306
4.38071,130.325
4.38737,124.144
4.39402,116.523
4.40068,108.587
