Distance_(cm),Gray_Value
2.35372,173.474
2.36039,178.904
2.36706,173.391
2.37372,159.509
2.38039,154.909
2.38706,153.756
2.39373,149.857
2.40039,146.158
2.40706,141.160
2.41373,135.959
2.42040,131.814
2.42707,130.086
2.43373,125.474
2.44040,116.246
2.44707,109.540
2.45374,103.026
2.46040,101.091
2.46707,107.172
2.47374,119.948
2.48041,133.328
2.48708,144.540
2.49374,161.123
2.50041,158.688
2.50708,150.753
2.51375,143.745
2.52041,138.403
2.52708,136.112
2.53375,136.736
2.54042,137.911
2.54709,143.149
2.55375,140.698
2.56042,136.886
2.56709,132.283
2.57376,127.768
2.58042,123.881
2.58709,120.619
2.59376,120.981
2.60043,122.346
2.60710,125.249
2.61376,129.450
2.62043,134.368
2.62710,138.807
2.63377,142.880
2.64043,146.732
2.64710,150.220
2.65377,152.071
2.66044,149.651
2.66711,144.972
2.67377,138.597
2.68044,132.858
2.68711,129.212
2.69378,129.571
2.70044,132.391
2.70711,132.378
2.71378,122.247
2.72045,120.885
2.72712,121.307
2.73378,122.421
2.74045,124.125
2.74712,125.247
2.75379,127.619
2.76045,130.211
2.76712,153.176
2.77379,161.770
2.78046,166.905
2.78713,170.975
2.79379,171.941
2.80046,165.323
2.80713,159.224
2.81380,154.470
2.82046,143.513
2.82713,136.358
2.83380,132.473
2.84047,129.354
2.84714,126.425
2.85380,125.139
2.86047,122.048
2.86714,116.712
2.87381,112.487
2.88047,114.795
2.88714,114.841
2.89381,118.159
2.90048,124.854
2.90714,134.212
2.91381,145.418
2.92048,155.473
2.92715,163.345
2.93382,167.675
2.94048,162.950
2.94715,160.649
2.95382,166.403
2.96049,176.099
2.96715,182.226
2.97382,179.394
2.98049,173.854
2.98716,134.883
2.99383,119.104
3.00049,118.768
3.00716,119.206
3.01383,119.789
3.02050,119.290
3.02716,119.606
3.03383,121.872
3.04050,126.726
3.04717,137.011
3.05384,151.183
3.06050,162.144
3.06717,166.163
3.07384,167.829
3.08051,172.884
3.08717,180.530
3.09384,176.068
3.10051,157.492
3.10718,151.216
3.11385,143.818
3.12051,138.250
3.12718,132.935
3.13385,127.605
3.14052,123.333
3.14718,120.599
3.15385,123.439
3.16052,122.183
3.16719,122.876
3.17386,125.380
3.18052,127.049
3.18719,128.798
3.19386,131.323
3.20053,133.815
3.20719,151.045
3.21386,159.911
3.22053,159.998
3.22720,162.060
3.23387,162.464
3.24053,161.963
3.24720,163.630
3.25387,165.987
3.26054,155.464
3.26720,138.110
3.27387,135.760
3.28054,132.001
3.28721,124.800
3.29388,118.721
3.30054,116.598
3.30721,118.966
3.31388,122.785
3.32055,128.066
3.32721,132.991
3.33388,140.539
3.34055,144.972
3.34722,144.941
3.35388,140.069
3.36055,135.597
3.36722,135.802
3.37389,147.737
3.38056,153.639
3.38722,158.191
3.39389,159.468
3.40056,157.096
3.40723,151.170
3.41389,141.370
3.42056,131.633
3.42723,125.297
3.43390,121.398
3.44057,119.867
3.44723,118.587
3.45390,118.614
3.46057,119.505
3.46724,121.166
3.47390,123.581
3.48057,122.946
3.48724,130.988
3.49391,162.873
3.50058,184.479
